"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	25	1180	273	262	"Alive"
"2"	26	1188	264.5	220	"Alive"
"3"	27	1193	270	171	"Alive"
"4"	28	1179.5	267	95	"Alive"
"5"	29	1178.5	263.5	88	"Alive"
"6"	30	1177	265.5	97	"Alive"
"7"	31	1179.5	272.5	91	"Alive"
"8"	32	1162	257.5	147	"Alive"
"9"	33	1181	257.5	131	"Alive"
"10"	34	1184	257.5	110	"Alive"
"11"	35	1186	263	108	"Alive"
"12"	36	1174	261.5	81	"Alive"
"13"	37	1180	253	104	"Alive"
"14"	38	1181	253	97	"Alive"
"15"	39	1178.5	258.5	101	"Alive"
