"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	15	547.5	424.5	164	"Alive"
"2"	16	546.5	416.5	131	"Alive"
"3"	17	534.5	401.5	150	"Alive"
"4"	18	540	397	157	"Alive"
"5"	19	544	417.5	177	"Alive"
"6"	20	546	435.5	126	"Alive"
"7"	21	550.5	451	113	"Alive"
"8"	22	558.5	447.5	120	"Alive"
"9"	23	566	451	125	"Alive"
"10"	24	569	451	148	"Alive"
"11"	25	577	454.5	167	"Alive"
"12"	26	575.5	461.5	196	"Alive"
"13"	27	571.5	464.5	138	"Alive"
"14"	28	569	466.5	164	"Alive"
"15"	29	570.5	471	147	"Alive"
"16"	30	561.5	473.5	185	"Alive"
"17"	31	566	481	93	"Alive"
"18"	32	567.5	482	109	"Alive"
"19"	33	562	481.5	96	"Alive"
"20"	34	565	483.5	82	"Alive"
"21"	35	557.5	491	111	"Alive"
"22"	36	556	491	112	"Alive"
"23"	37	569.5	495.5	79	"Alive"
"24"	38	569	493	124	"Alive"
"25"	39	566	497.5	102	"Alive"
