"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	22	993.5	1043	92	"Alive"
"2"	23	980	1026.5	99	"Alive"
"3"	24	981.5	1027.5	110	"Alive"
"4"	25	982	1010	110	"Alive"
"5"	26	981	1009	143	"Alive"
"6"	27	973.5	1010	145	"Alive"
"7"	28	964.5	1010	132	"Alive"
"8"	29	965.5	1009	486	"Dead"
"9"	30	952	1014	80	"Alive"
"10"	31	956.5	1015	289	"Alive"
"11"	32	962	1014	98	"Alive"
"12"	33	968.5	1016	126	"Alive"
"13"	34	978	1009.5	130	"Alive"
"14"	35	987	1007.5	112	"Alive"
"15"	36	990.5	1005	119	"Alive"
"16"	37	995.5	1014.5	180	"Alive"
"17"	38	999	1017	128	"Alive"
"18"	39	991	1020	153	"Alive"
