"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	13	1253	482	274	"Alive"
"2"	14	1270	505.5	157	"Alive"
"3"	15	1286	510	182	"Alive"
"4"	16	1282	503	203	"Alive"
"5"	17	1278	514.5	192	"Alive"
"6"	18	1271.5	514.5	186	"Alive"
"7"	19	1263.5	521.5	177	"Alive"
"8"	20	1266	515.5	115	"Alive"
"9"	21	1282	511	111	"Alive"
"10"	22	1294	521.5	95	"Alive"
"11"	23	1294.5	521.5	111	"Alive"
"12"	24	1297	516.5	153	"Alive"
"13"	25	1294.5	518.5	158	"Alive"
"14"	26	1280	513	121	"Alive"
"15"	27	1284	518.5	123	"Alive"
"16"	28	1268	524.5	93	"Alive"
"17"	29	1268.5	527.5	95	"Alive"
"18"	30	1270.5	524.5	97	"Alive"
"19"	31	1268.5	525	89	"Dead"
"20"	32	1260.5	541	191	"Alive"
"21"	33	1258.5	536.5	124	"Alive"
"22"	34	1244.5	544.5	217	"Dead"
"23"	35	1226.5	539.5	163	"Dead"
"24"	36	1229.5	520.5	172	"Dead"
"25"	37	1236.5	522	181	"Dead"
"26"	38	1236	515.5	231	"Dead"
"27"	39	1230.5	512	537	"Dead"
