"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	18	1261	597.5	98	"Alive"
"2"	19	1273	593	102	"Alive"
"3"	20	1284	586.5	303	"Dead"
"4"	21	1278	586	366	"Dead"
"5"	22	1280.5	581	106	"Dead"
"6"	23	1276	572	302	"Dead"
"7"	24	1261.5	568.5	186	"Dead"
"8"	25	1258	556.5	207	"Dead"
"9"	26	1254	552.5	132	"Dead"
"10"	27	1259.5	544	126	"Dead"
"11"	28	1259.5	557	121	"Dead"
"12"	29	1259	557	128	"Dead"
"13"	30	1261.5	559	86	"Dead"
"14"	31	1260	565.5	305	"Dead"
"15"	32	1260	554.5	164	"Alive"
"16"	33	1259	549.5	168	"Alive"
"17"	34	1267	558	159	"Dead"
"18"	35	1283	557	112	"Dead"
"19"	36	1285.5	546	103	"Alive"
"20"	37	1289	546.5	113	"Alive"
"21"	38	1279	556.5	111	"Dead"
"22"	39	1291.5	548	107	"Alive"
