"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	19	292	855	117	"Alive"
"2"	20	274	850.5	165	"Alive"
"3"	21	281	853.5	187	"Alive"
"4"	22	278	852.5	253	"Alive"
"5"	23	279.5	865	120	"Alive"
"6"	24	280.5	873	289	"Alive"
"7"	25	275.5	856	156	"Alive"
"8"	26	272	875	220	"Alive"
"9"	27	277.5	868.5	377	"Alive"
"10"	28	273.5	874	325	"Alive"
"11"	29	276	870.5	292	"Alive"
"12"	30	271.5	867	242	"Alive"
"13"	31	275	866.5	231	"Alive"
"14"	32	290	880	167	"Alive"
"15"	33	278.5	866.5	125	"Alive"
"16"	34	284.5	863.5	132	"Alive"
"17"	35	289.5	871	90	"Alive"
"18"	36	294.5	869	98	"Alive"
"19"	37	295.5	871.5	249	"Alive"
"20"	38	293	872	217	"Alive"
"21"	39	294	874	379	"Alive"
