"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	20	1153	21	175	"Alive"
"2"	21	1151	18.5	122	"Alive"
"3"	22	1152.5	21.5	140	"Alive"
"4"	23	1165	19.5	115	"Alive"
"5"	24	1172	28	141	"Alive"
"6"	25	1172	25.5	148	"Alive"
"7"	26	1176.5	35	139	"Alive"
"8"	27	1163	26	94	"Alive"
"9"	28	1157	28	247	"Alive"
"10"	29	1163.5	23.5	65	"Alive"
"11"	30	1160.5	22.5	93	"Alive"
"12"	31	1178	30	112	"Alive"
"13"	32	1179	28.5	86	"Alive"
"14"	33	1183	31	106	"Alive"
"15"	34	1185	26.5	123	"Alive"
"16"	35	1188	28	134	"Alive"
"17"	36	1192.5	44	119	"Alive"
"18"	37	1175.5	34.5	77	"Alive"
"19"	38	1173.5	39	89	"Alive"
"20"	39	1170.5	38	94	"Alive"
