"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	24	1237	1044.5	120	"Alive"
"2"	25	1219.5	1038	170	"Alive"
"3"	26	1225	1041	160	"Alive"
"4"	27	1208.5	1033	137	"Alive"
"5"	28	1209	1032.5	109	"Alive"
"6"	29	1210.5	1049	123	"Alive"
"7"	30	1178	1039.5	165	"Alive"
"8"	31	1187.5	1052.5	68	"Alive"
"9"	32	1207	1054.5	128	"Alive"
"10"	33	1197	1035.5	50	"Alive"
"11"	34	1197.5	1038	141	"Alive"
"12"	35	1201.5	1027	88	"Alive"
"13"	36	1203.5	1028	86	"Alive"
"14"	37	1205.5	1032	97	"Alive"
"15"	38	1215	1021	116	"Alive"
"16"	39	1214.5	1022.5	139	"Alive"
