"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	12	440.5	638.5	144	"Alive"
"2"	13	450	649.5	164	"Alive"
"3"	14	456	657.5	236	"Alive"
"4"	15	460	659	237	"Alive"
"5"	16	460.5	663.5	232	"Alive"
"6"	17	469	667	488	"Alive"
"7"	18	466	669.5	99	"Alive"
"8"	19	476	666	168	"Alive"
"9"	20	461	669.5	141	"Alive"
"10"	21	450.5	677	144	"Alive"
"11"	22	468	662.5	81	"Alive"
"12"	23	472	672	138	"Alive"
"13"	24	456	681	165	"Alive"
"14"	25	459	675.5	99	"Alive"
"15"	26	457.5	677.5	383	"Alive"
"16"	27	445.5	678	372	"Dead"
"17"	28	453	688.5	102	"Alive"
"18"	29	463	699	352	"Dead"
"19"	30	455	690	69	"Dead"
"20"	31	450.5	691.5	317	"Dead"
"21"	32	466	678	582	"Dead"
"22"	33	481.5	683.5	329	"Dead"
