"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	22	148.5	186	144	"Alive"
"2"	23	155.5	185	143	"Alive"
"3"	24	160	185	251	"Alive"
"4"	25	173	179	96	"Alive"
"5"	26	176.5	175.5	112	"Alive"
"6"	27	186.5	165	127	"Alive"
"7"	28	190.5	166.5	138	"Alive"
"8"	29	195.5	173.5	122	"Alive"
"9"	30	190	177.5	118	"Alive"
"10"	31	174	170.5	123	"Alive"
"11"	32	173	176	112	"Alive"
"12"	33	167.5	182	148	"Dead"
"13"	34	170.5	187	77	"Alive"
"14"	35	178.5	198.5	214	"Alive"
"15"	36	189	187	108	"Alive"
"16"	37	188.5	189	117	"Alive"
"17"	38	190	187.5	113	"Alive"
"18"	39	187	177.5	91	"Alive"
