"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	12	261	135	116	"Alive"
"2"	13	264	123.5	125	"Alive"
"3"	14	257.5	111.5	147	"Alive"
"4"	15	249.5	108	143	"Alive"
"5"	16	254.5	91.5	179	"Alive"
"6"	17	249	82.5	218	"Alive"
"7"	18	239	81.5	170	"Alive"
"8"	19	229.5	77.5	135	"Alive"
"9"	20	223.5	87.5	220	"Alive"
"10"	21	216	80	202	"Alive"
"11"	22	221	76.5	128	"Alive"
"12"	23	204.5	69.5	98	"Alive"
"13"	24	223	70	120	"Alive"
"14"	25	219	61	112	"Alive"
"15"	26	212.5	56	136	"Alive"
"16"	27	209.5	54	137	"Alive"
"17"	28	207	50	128	"Alive"
"18"	29	205.5	50.5	135	"Alive"
"19"	30	207	54	119	"Alive"
"20"	31	207.5	48.5	102	"Alive"
"21"	32	216.5	40.5	88	"Alive"
"22"	33	230	41.5	97	"Alive"
"23"	34	222	26	67	"Alive"
"24"	35	210	23.5	77	"Alive"
"25"	36	222.5	25	77	"Alive"
"26"	37	224.5	22	85	"Alive"
"27"	38	239	31	94	"Alive"
"28"	39	238	26.5	118	"Alive"
