"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	24	818.5	828	138	"Alive"
"2"	25	813.5	814.5	120	"Alive"
"3"	26	787.5	807	103	"Alive"
"4"	27	779.5	814	343	"Dead"
"5"	28	787.5	819.5	195	"Dead"
"6"	29	793	827	238	"Alive"
"7"	30	791.5	818.5	313	"Alive"
"8"	31	788	828.5	109	"Alive"
"9"	32	776	836.5	72	"Alive"
"10"	33	769.5	832	91	"Alive"
"11"	34	766.5	833	108	"Alive"
"12"	35	780.5	830	105	"Alive"
"13"	36	778.5	830	91	"Alive"
"14"	37	782	830	222	"Alive"
"15"	38	786	837	114	"Alive"
"16"	39	795.5	844	294	"Alive"
