"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	23	333	438	174	"Alive"
"2"	24	334.5	439.5	175	"Alive"
"3"	25	341	439	172	"Alive"
"4"	26	344.5	433.5	235	"Alive"
"5"	27	344.5	431.5	180	"Alive"
"6"	28	338	427.5	271	"Alive"
"7"	29	335.5	429.5	102	"Alive"
"8"	30	332.5	434	80	"Alive"
"9"	31	329	434	96	"Alive"
"10"	32	330.5	436	105	"Alive"
"11"	33	325	434.5	121	"Alive"
"12"	34	334.5	435.5	125	"Alive"
"13"	35	336	436.5	137	"Alive"
"14"	36	331	432	124	"Alive"
"15"	37	329	431	131	"Alive"
"16"	38	329	428.5	120	"Alive"
"17"	39	329.5	427.5	122	"Alive"
