"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	20	345.5	607	212	"Alive"
"2"	21	337.5	603	207	"Alive"
"3"	22	345.5	606.5	314	"Alive"
"4"	23	342	605.5	114	"Alive"
"5"	24	347	591.5	180	"Alive"
"6"	25	350	582.5	115	"Alive"
"7"	26	349.5	579	158	"Alive"
"8"	27	342	575.5	304	"Alive"
"9"	28	341.5	581	146	"Alive"
"10"	29	326	566	102	"Alive"
"11"	30	331	570.5	249	"Alive"
"12"	31	323.5	561.5	126	"Alive"
"13"	32	326.5	565.5	223	"Alive"
"14"	33	322.5	557	95	"Alive"
"15"	34	324	549	279	"Alive"
"16"	35	318	542.5	88	"Alive"
"17"	36	321.5	544	101	"Alive"
"18"	37	332	552	115	"Alive"
"19"	38	336	554.5	304	"Alive"
"20"	39	337.5	552	149	"Alive"
