"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	21	554	211	102	"Alive"
"2"	22	547	216	126	"Alive"
"3"	23	545	207.5	150	"Alive"
"4"	24	543	196	135	"Alive"
"5"	25	547	197	120	"Alive"
"6"	26	548.5	197	122	"Alive"
"7"	27	549	194.5	137	"Alive"
"8"	28	545.5	195.5	95	"Alive"
"9"	29	549	190	86	"Alive"
"10"	30	549	193.5	141	"Alive"
"11"	31	526	187	193	"Alive"
"12"	32	528	178.5	79	"Alive"
"13"	33	526	184.5	107	"Alive"
"14"	34	518.5	176	79	"Alive"
"15"	35	522	169.5	93	"Alive"
"16"	36	526.5	180.5	82	"Alive"
"17"	37	525.5	180.5	103	"Alive"
"18"	38	516	184.5	88	"Alive"
"19"	39	524	184	76	"Alive"
