"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	23	440	164.5	96	"Alive"
"2"	24	438.5	163.5	100	"Alive"
"3"	25	438.5	167.5	108	"Alive"
"4"	26	424.5	169	104	"Alive"
"5"	27	421.5	181	98	"Alive"
"6"	28	423	179	109	"Alive"
"7"	29	426	168.5	105	"Alive"
"8"	30	428.5	158.5	227	"Dead"
"9"	31	427.5	166.5	96	"Alive"
"10"	32	432	176	101	"Alive"
"11"	33	429	176.5	124	"Alive"
"12"	34	424.5	161	101	"Alive"
"13"	35	422.5	159.5	95	"Alive"
"14"	36	418	155.5	98	"Alive"
"15"	37	419	156	150	"Alive"
"16"	38	410.5	149.5	251	"Alive"
"17"	39	409	147.5	217	"Dead"
