"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	18	395	402.5	178	"Alive"
"2"	19	399	403	187	"Alive"
"3"	20	411	415.5	141	"Alive"
"4"	21	412	417.5	101	"Alive"
"5"	22	419	434	142	"Alive"
"6"	23	423	437	133	"Alive"
"7"	24	413.5	426.5	116	"Alive"
"8"	25	411	431	132	"Alive"
"9"	26	411.5	427.5	152	"Alive"
"10"	27	407	438	129	"Alive"
"11"	28	401	422.5	122	"Alive"
"12"	29	402.5	426.5	127	"Alive"
"13"	30	391	420.5	163	"Alive"
"14"	31	390.5	422.5	128	"Alive"
"15"	32	389.5	424.5	142	"Alive"
"16"	33	391	426.5	112	"Alive"
"17"	34	406.5	419	119	"Alive"
"18"	35	403.5	411	220	"Alive"
"19"	36	409	422	101	"Alive"
"20"	37	411.5	422	116	"Alive"
"21"	38	399.5	423	152	"Alive"
"22"	39	412	425.5	100	"Alive"
