"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	16	376	98	113	"Alive"
"2"	17	392.5	104	138	"Alive"
"3"	18	384.5	96	183	"Alive"
"4"	19	391	102.5	137	"Alive"
"5"	20	391.5	97	142	"Alive"
"6"	21	405.5	101	132	"Alive"
"7"	22	401	102	133	"Alive"
"8"	23	399.5	103.5	102	"Alive"
"9"	24	409.5	123	102	"Alive"
"10"	25	400	131	87	"Alive"
"11"	26	403	126	157	"Alive"
"12"	27	406	132.5	121	"Alive"
"13"	28	411	132.5	149	"Alive"
"14"	29	416	137	181	"Alive"
"15"	30	415	137.5	98	"Alive"
"16"	31	420	134	226	"Alive"
"17"	32	420.5	138	118	"Alive"
"18"	33	433	143	148	"Alive"
"19"	34	429	154.5	74	"Alive"
"20"	35	432	143	127	"Alive"
"21"	36	437	140.5	169	"Alive"
