"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	22	1315	680.5	92	"Alive"
"2"	23	1318.5	688.5	102	"Alive"
"3"	24	1317.5	685.5	187	"Alive"
"4"	25	1319	695.5	79	"Alive"
"5"	26	1318	687	124	"Alive"
"6"	27	1312	689	88	"Alive"
"7"	28	1297	685	142	"Alive"
"8"	29	1307	682.5	98	"Alive"
"9"	30	1297.5	670	65	"Alive"
"10"	31	1283.5	665.5	110	"Alive"
"11"	32	1281.5	667	221	"Alive"
"12"	33	1279.5	662	114	"Alive"
"13"	34	1285.5	674	108	"Alive"
"14"	35	1283.5	673.5	98	"Alive"
"15"	36	1290.5	673.5	82	"Alive"
"16"	37	1288	667	131	"Alive"
"17"	38	1291.5	667.5	152	"Alive"
"18"	39	1286.5	670	258	"Alive"
