"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	21	548.5	329.5	101	"Alive"
"2"	22	549	324.5	111	"Alive"
"3"	23	553.5	321	124	"Alive"
"4"	24	550.5	319	125	"Alive"
"5"	25	549.5	322	121	"Alive"
"6"	26	552	317	155	"Alive"
"7"	27	551.5	319	236	"Alive"
"8"	28	552.5	315	228	"Alive"
"9"	29	554	319	128	"Alive"
"10"	30	565.5	319.5	126	"Alive"
"11"	31	564	320.5	130	"Alive"
"12"	32	571.5	318	101	"Alive"
"13"	33	566.5	328	128	"Alive"
"14"	34	567	324	151	"Alive"
"15"	35	569	314	103	"Alive"
"16"	36	559.5	312.5	70	"Alive"
"17"	37	562	312.5	109	"Alive"
"18"	38	566	311.5	212	"Alive"
"19"	39	566	311	232	"Alive"
