"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	23	483.5	532	96	"Alive"
"2"	24	488	537	134	"Alive"
"3"	25	502.5	541.5	144	"Alive"
"4"	26	508	548.5	188	"Alive"
"5"	27	513.5	548.5	108	"Alive"
"6"	28	518.5	552.5	288	"Alive"
"7"	29	519.5	549	156	"Alive"
"8"	30	530	546.5	160	"Alive"
"9"	31	524.5	542.5	111	"Alive"
"10"	32	512	545.5	104	"Alive"
"11"	33	508.5	545.5	107	"Alive"
"12"	34	498.5	554	85	"Alive"
"13"	35	490.5	542	137	"Alive"
"14"	36	490	542.5	111	"Alive"
"15"	37	501	554.5	91	"Alive"
"16"	38	497	553.5	110	"Alive"
"17"	39	497	566.5	88	"Dead"
