"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	22	683	12.5	113	"Alive"
"2"	23	694	13.5	130	"Alive"
"3"	24	683.5	17.5	111	"Alive"
"4"	25	684.5	15.5	77	"Alive"
"5"	26	682	29.5	70	"Alive"
"6"	27	674.5	29	253	"Alive"
"7"	28	685	30	252	"Dead"
"8"	29	684.5	46	81	"Alive"
"9"	30	679.5	43	164	"Alive"
"10"	31	675	47.5	69	"Alive"
"11"	32	665	59	106	"Transitional"
"12"	33	674	53.5	178	"Alive"
"13"	34	675.5	45	151	"Alive"
"14"	35	673.5	52	129	"Alive"
"15"	36	660.5	51.5	159	"Alive"
"16"	37	655	61	168	"Alive"
"17"	38	643.5	76	133	"Alive"
"18"	39	649.5	86.5	134	"Dead"
