"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	12	863.5	22	98	"Alive"
"2"	13	860.5	25	179	"Alive"
"3"	14	841.5	34	134	"Alive"
"4"	15	841	18	187	"Alive"
"5"	16	833.5	9.5	122	"Alive"
"6"	17	830.5	13	124	"Alive"
"7"	18	828	41	145	"Alive"
"8"	19	832.5	46.5	112	"Alive"
"9"	20	835.5	31.5	131	"Alive"
"10"	21	843.5	49	171	"Alive"
"11"	22	850.5	53.5	102	"Alive"
"12"	23	857	52.5	90	"Alive"
"13"	24	867.5	64	105	"Alive"
"14"	25	883	54	135	"Alive"
"15"	26	875.5	60	92	"Alive"
"16"	27	868.5	73	93	"Alive"
"17"	28	854.5	74.5	116	"Alive"
"18"	29	858	77	99	"Alive"
"19"	30	864.5	73.5	95	"Alive"
"20"	31	858.5	73.5	95	"Alive"
"21"	32	876.5	64.5	107	"Alive"
"22"	33	873	63	110	"Alive"
"23"	34	869.5	63.5	105	"Alive"
"24"	35	869	67	113	"Alive"
"25"	36	869	65.5	102	"Alive"
"26"	37	866	66.5	116	"Alive"
"27"	38	870.5	63.5	116	"Alive"
"28"	39	873.5	65	106	"Alive"
