"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	18	315.5	1017.5	114	"Alive"
"2"	19	306	1019.5	122	"Alive"
"3"	20	307.5	1024	136	"Alive"
"4"	21	322.5	1042.5	109	"Alive"
"5"	22	315.5	1039	146	"Transitional"
"6"	23	336	1040	124	"Alive"
"7"	24	342	1039	105	"Alive"
"8"	25	345.5	1034.5	137	"Alive"
"9"	26	343	1032.5	154	"Alive"
"10"	27	354	1011	88	"Alive"
"11"	28	355	1011.5	104	"Alive"
"12"	29	364	1021	135	"Alive"
"13"	30	360	1015.5	110	"Alive"
"14"	31	377.5	1028	123	"Alive"
"15"	32	377	1027.5	113	"Alive"
"16"	33	375	1027	116	"Alive"
"17"	34	374.5	1028.5	135	"Alive"
"18"	35	375	1028.5	154	"Alive"
"19"	36	376	1025	119	"Alive"
"20"	37	376.5	1024.5	132	"Alive"
"21"	38	362.5	1014.5	127	"Alive"
"22"	39	357.5	1000	87	"Alive"
