"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	23	1246.5	416.5	126	"Alive"
"2"	24	1245	422	126	"Alive"
"3"	25	1252	426	142	"Alive"
"4"	26	1263.5	433	188	"Alive"
"5"	27	1258	434	148	"Alive"
"6"	28	1260.5	439	96	"Alive"
"7"	29	1252	433.5	74	"Alive"
"8"	30	1248	430.5	92	"Alive"
"9"	31	1251	427	122	"Alive"
"10"	32	1258.5	427	100	"Alive"
"11"	33	1255	426	103	"Alive"
"12"	34	1254.5	423.5	113	"Alive"
"13"	35	1250	424.5	95	"Alive"
"14"	36	1237	434.5	126	"Alive"
"15"	37	1236	429	98	"Alive"
"16"	38	1235.5	430	101	"Alive"
"17"	39	1233	431.5	105	"Alive"
