"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	23	589.5	283.5	94	"Alive"
"2"	24	583.5	279	144	"Alive"
"3"	25	590	290	149	"Alive"
"4"	26	593	285.5	163	"Alive"
"5"	27	590.5	290	164	"Alive"
"6"	28	591.5	291.5	132	"Alive"
"7"	29	595.5	290	138	"Alive"
"8"	30	601	284	161	"Alive"
"9"	31	604.5	293.5	99	"Alive"
"10"	32	602.5	293	107	"Alive"
"11"	33	602.5	297.5	97	"Alive"
"12"	34	603.5	296.5	110	"Alive"
"13"	35	606	295	113	"Alive"
"14"	36	608	293.5	107	"Alive"
"15"	37	605.5	292	130	"Alive"
"16"	38	609.5	293.5	112	"Alive"
"17"	39	609.5	291	114	"Alive"
