"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	23	403.5	826	105	"Alive"
"2"	24	406	824	177	"Alive"
"3"	25	416	814.5	84	"Alive"
"4"	26	412	808.5	105	"Alive"
"5"	27	410	805	116	"Alive"
"6"	28	406.5	807	86	"Alive"
"7"	29	407	804	120	"Alive"
"8"	30	413	802.5	283	"Dead"
"9"	31	414.5	798.5	115	"Alive"
"10"	32	414.5	799	126	"Alive"
"11"	33	412	794	244	"Dead"
"12"	34	413	804	146	"Dead"
"13"	35	413	805.5	111	"Dead"
"14"	36	434.5	812	106	"Alive"
"15"	37	427	825	97	"Alive"
"16"	38	415.5	814	148	"Dead"
"17"	39	415.5	822	98	"Alive"
