"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	19	1097.5	163.5	149	"Alive"
"2"	20	1102.5	158.5	180	"Alive"
"3"	21	1102.5	143.5	190	"Dead"
"4"	22	1110.5	152	248	"Alive"
"5"	23	1127.5	151.5	95	"Alive"
"6"	24	1120.5	159	217	"Dead"
"7"	25	1133.5	159.5	192	"Dead"
"8"	26	1128.5	158.5	256	"Alive"
"9"	27	1138	158.5	134	"Dead"
"10"	28	1143.5	155	195	"Alive"
"11"	29	1127.5	153	235	"Alive"
"12"	30	1120	150.5	311	"Alive"
"13"	31	1118	155	122	"Alive"
"14"	32	1136	150.5	94	"Dead"
"15"	33	1146	144.5	186	"Dead"
"16"	34	1153	129.5	142	"Dead"
"17"	35	1158	132	110	"Alive"
"18"	36	1156.5	134.5	157	"Alive"
"19"	37	1162	137.5	337	"Alive"
