"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	20	368	784	148	"Alive"
"2"	21	385	775	163	"Alive"
"3"	22	374	763	157	"Alive"
"4"	23	379.5	752.5	221	"Alive"
"5"	24	392.5	768.5	108	"Alive"
"6"	25	392	762.5	203	"Alive"
"7"	26	399	763	127	"Alive"
"8"	27	394	762	144	"Alive"
"9"	28	388.5	742	148	"Alive"
"10"	29	400	739.5	142	"Alive"
"11"	30	406.5	731	119	"Alive"
"12"	31	400	731	112	"Alive"
"13"	32	401	738	150	"Alive"
"14"	33	399.5	740	348	"Alive"
"15"	34	403.5	754.5	176	"Alive"
"16"	35	406	755.5	177	"Alive"
"17"	36	410	761	295	"Alive"
"18"	37	405.5	753.5	96	"Alive"
