key	value
generated_at	2026-07-24T18:13:03+0000
seurat_cells	35513
scvelo_cells	35513
seurat_cells_in_scvelo	35513
scvelo_cells_missing_from_seurat	0
tumor_cells	9832
cellline_cells	25681
tumor_cells_with_endpoint_ploidy	9832
tumor_cells_missing_endpoint_ploidy	0
cellline_cells_with_endpoint_ploidy	0
endpoint_ploidy_min	1.72470447539109
endpoint_ploidy_max	2.66569632076908
endpoint_ploidy_input_rows	35513
tumor_mice	16
clusters	0,2,4c,5,6,8,10,13,14
initial_ploidy_levels	2N,4N
dose_levels	0mg/kg,30mg/kg,120mg/kg
dose_panel_informative	true
panel_files	54
si_figure7_rds_cells	35513
