path	repo_relative_path	absolute_path	role	source_kind	module	generated_by	command_id	sha256	checksum_unavailable_reason	byte_size	mtime_utc	figure	panel	notes
/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure4_cluster_context_composition.csv		/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure4_cluster_context_composition.csv	input_data	input_file	si_figures	Manager.sh	figures_20260724T082644Z_final2	706c366fd57b92495afedcc5a491e88eb7acb76ce1c9db5b8e5c0436c99f7ca0		1822	2026-07-24T15:53:01.521030+00:00			.
/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure4_cluster_initial_ploidy_composition.csv		/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure4_cluster_initial_ploidy_composition.csv	input_data	input_file	si_figures	Manager.sh	figures_20260724T082644Z_final2	8d25f7f21a9f3d2471b2e3bb82608e5eb7aa1646b955b84beaeaf4707433fbb7		1890	2026-07-24T15:53:01.525529+00:00			.
/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure5_cluster_composition_by_mouse.csv		/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure5_cluster_composition_by_mouse.csv	input_data	input_file	si_figures	Manager.sh	figures_20260724T082644Z_final2	40043d3582474eb49ae3e035f33e1386b053c77f110521c6d978817f87244b57		21446	2026-07-24T15:53:01.529169+00:00			.
/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure5_cluster_dose_composition.csv		/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure5_cluster_dose_composition.csv	input_data	input_file	si_figures	Manager.sh	figures_20260724T082644Z_final2	9556d22a98c1905b6689c4bab6c2438810159edebca3e9a25209725355cf058f		2556	2026-07-24T15:53:01.536591+00:00			.
/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure5_cluster_initial_ploidy_composition.csv		/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure5_cluster_initial_ploidy_composition.csv	input_data	input_file	si_figures	Manager.sh	figures_20260724T082644Z_final2	de96cefbbaa97e799e3fae0712dd40b2d3486324cc7e20b698ced7a9f40daaa1		1857	2026-07-24T15:53:01.540136+00:00			.
/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure5_mouse_weighted_composition_by_initial_ploidy_dose.csv		/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure5_mouse_weighted_composition_by_initial_ploidy_dose.csv	input_data	input_file	si_figures	Manager.sh	figures_20260724T082644Z_final2	1bf1b5f6ce1f3ef30757dd87be0bec1b45eb5df635e5eefbb7a0dc70c45d58f2		6797	2026-07-24T15:53:01.533294+00:00			.
/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure6_endpoint_ploidy_join_audit.csv		/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure6_endpoint_ploidy_join_audit.csv	input_data	input_file	si_figures	Manager.sh	figures_20260724T082644Z_final2	8b5a32853e095a86798fa029ea2dd121129e8eff67d6f637e6023a1ea64b78f5		3584704	2026-07-24T15:53:01.582961+00:00			.
/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure7_cluster_0_top100_up_ORA_input.csv		/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure7_cluster_0_top100_up_ORA_input.csv	input_data	input_file	si_figures	Manager.sh	figures_20260724T082644Z_final2	d374a328216e4e38f148417cf30042a813a1ca8325712844e6da725ff86e0e3c		17571	2026-07-24T15:52:45.860402+00:00			.
/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure7_cluster_0_vs_rest_DEG.csv		/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure7_cluster_0_vs_rest_DEG.csv	input_data	input_file	si_figures	Manager.sh	figures_20260724T082644Z_final2	4b1a894affdc7de5a832b713fe00b3389463222f54e6467461dcd9d5355fd776		629866	2026-07-24T15:52:45.451644+00:00			.
/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure7_cluster_10_top100_up_ORA_input.csv		/share/lab_crd/lab_crd/taoli/Project/BreastCancerOrthotopicModels_figures01/Results/in-vivo/test/si_figures_20260724T082644Z/Results/in-vivo/SI_figures/runs/si_figures_20260724T082644Z_retry8_si_figures/tables/si_figure7_cluster_10_top100_up_ORA_input.csv	input_data	input_file	si_figures	Manager.sh	figures_20260724T082644Z_final2	b2752ee385ff3afe0776c8aa4fdb6e43a6c4c3f5e7f9bbdf50f83037c8e78e3a		11653	2026-07-24T15:52:55.699282+00:00			.
