drug	drug_key	pubchem_category	legacy_group_used_for_enrichment	custom_set_candidate_category	would_manual_override_change_legacy_group	would_manual_override_change_pubchem_group	all_pubchem_categories	parsed_pubchem_category_tokens	annotation_source	annotation_status	multi_category_flag	notes
HKMTI-1-005	HKMTI-1-005	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	FALSE	FALSE	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	FALSE	
I-BET-762	I-BET-762	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	FALSE	FALSE	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	FALSE	
I-BRD9	I-BRD9	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	FALSE	FALSE	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	FALSE	
IAP_5620	IAP_5620				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Ibrutinib	IBRUTINIB	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Targeted therapies	SIGNALING		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Targeted therapies	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors;Targeted therapies	baseline_coxIn_RData	cached	TRUE	
ICL-SIRT078	ICL-SIRT078	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	FALSE	FALSE	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	FALSE	
IGF1R_3801	IGF1R_3801	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
IOX2	IOX2				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Ipatasertib	IPATASERTIB	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
IRAK4_4710	IRAK4_4710	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
Irinotecan	IRINOTECAN	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Topoisomerase I Inhibitors; Cytotoxic medicines	CYTOTOXIC		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Topoisomerase I Inhibitors; Cytotoxic medicines	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Topoisomerase I Inhibitors;Cytotoxic medicines	baseline_coxIn_RData	cached	TRUE	
IWP-2	IWP-2				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
JAK_8517	JAK_8517	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
JAK1_8709	JAK1_8709	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
JNK Inhibitor VIII	JNK INHIBITOR VIII				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
JQ1	JQ1	(Anti-)Inflammatory	IMMUNOSUPPRESSIVE AGENTS		FALSE	FALSE	(Anti-)Inflammatory	(Anti-)Inflammatory	baseline_coxIn_RData	cached	FALSE	
KRAS (G12C) Inhibitor-12	KRAS (G12C) INHIBITOR-12	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
KU-55933	KU-55933				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
L-Oxonoreleagnine	L-OXONORELEAGNINE				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Lapatinib	LAPATINIB	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;	TYROSINE KINASE INHIBITORS	SIGNALING	TRUE	TRUE	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;	Breast Feeding;Lactation;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors;Tyrosine Kinase Inhibitors	baseline_coxIn_RData	cached	TRUE	
LCL161	LCL161	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	FALSE	FALSE	CYTOTOXIC	CYTOTOXIC	baseline_coxIn_RData	cached	FALSE	
Leflunomide	LEFLUNOMIDE	Signaling	SIGNALING		FALSE	FALSE	Signaling	Signaling	baseline_coxIn_RData	cached	FALSE	
Lenalidomide	LENALIDOMIDE	(Anti-)Inflammatory	IMMUNOSUPPRESSIVE AGENTS		FALSE	FALSE	(Anti-)Inflammatory	(Anti-)Inflammatory	baseline_coxIn_RData	cached	FALSE	
Lestaurtinib	LESTAURTINIB	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
LGK974	LGK974	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
Linsitinib	LINSITINIB	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
LJI308	LJI308	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
LMB_AB1	LMB_AB1				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
LMB_AB2	LMB_AB2				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
LMB_AB3	LMB_AB3				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
LMP744	LMP744				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Luminespib	LUMINESPIB				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
LY2109761	LY2109761	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
Methotrexate	METHOTREXATE	Breast Feeding; Lactation; Milk, Human; Abortifacient Agents, Nonsteroidal; Antimetabolites, Antineoplastic; Antirheumatic Agents; Folic Acid Antagonists; Immunosuppressive Agents; Cytotoxic medicines; Dermatological medicines > Medicines affecting skin differentiation and proliferation; Disease-modifying anti-rheumatic drugs (DMARDs)	DISEASE-MODIFYING ANTI-RHEUMATIC DRUGS (DMARDS)		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Abortifacient Agents, Nonsteroidal; Antimetabolites, Antineoplastic; Antirheumatic Agents; Folic Acid Antagonists; Immunosuppressive Agents; Cytotoxic medicines; Dermatological medicines > Medicines affecting skin differentiation and proliferation; Disease-modifying anti-rheumatic drugs (DMARDs)	Breast Feeding;Lactation;Milk, Human;Abortifacient Agents, Nonsteroidal;Antimetabolites, Antineoplastic;Antirheumatic Agents;Folic Acid Antagonists;Immunosuppressive Agents;Cytotoxic medicines;Dermatological medicines > Medicines affecting skin differentiation and proliferation;Disease-modifying anti-rheumatic drugs (DMARDs)	baseline_coxIn_RData	cached	TRUE	
MG-132	MG-132				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
MIM1	MIM1				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
MIRA-1	MIRA-1				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Mirin	MIRIN				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Mitoxantrone	MITOXANTRONE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents	ANTINEOPLASTIC AGENTS		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents	baseline_coxIn_RData	cached	TRUE	
MK-1775	MK-1775	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
MK-2206	MK-2206	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
