drug	drug_key	pubchem_category	legacy_group_used_for_enrichment	custom_set_candidate_category	would_manual_override_change_legacy_group	would_manual_override_change_pubchem_group	all_pubchem_categories	parsed_pubchem_category_tokens	annotation_source	annotation_status	multi_category_flag	notes
Romidepsin	ROMIDEPSIN	Antineoplastic Agents	ANTINEOPLASTIC AGENTS		FALSE	FALSE	Antineoplastic Agents	Antineoplastic Agents	baseline_coxIn_RData	cached	FALSE	
Rucaparib	RUCAPARIB	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP Inhibitors	SIGNALING		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP Inhibitors	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Signal Transduction Inhibitors;PARP Inhibitors	baseline_coxIn_RData	cached	TRUE	
Ruxolitinib	RUXOLITINIB	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Janus Kinase Inhibitors; JAK Inhibitors	SIGNALING		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Janus Kinase Inhibitors; JAK Inhibitors	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors;Janus Kinase Inhibitors;JAK Inhibitors	baseline_coxIn_RData	cached	TRUE	
RVX-208	RVX-208	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	FALSE	FALSE	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	FALSE	
Sabutoclax	SABUTOCLAX	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	FALSE	FALSE	CYTOTOXIC	CYTOTOXIC	baseline_coxIn_RData	cached	FALSE	
Sapitinib	SAPITINIB	Signaling	SIGNALING		FALSE	FALSE	Signaling	Signaling	baseline_coxIn_RData	cached	FALSE	
Savolitinib	SAVOLITINIB	Signaling	SIGNALING		FALSE	FALSE	Signaling	Signaling	baseline_coxIn_RData	cached	FALSE	
SB216763	SB216763				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
SB505124	SB505124	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
SB590885	SB590885	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
SCH772984	SCH772984	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
Schweinfurthin A	SCHWEINFURTHIN A				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Selumetinib	SELUMETINIB	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Tyrosine Kinase Inhibitors; Signal Transduction Inhibitors; MEK Inhibitors	MEK INHIBITORS	SIGNALING	TRUE	TRUE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Tyrosine Kinase Inhibitors; Signal Transduction Inhibitors; MEK Inhibitors	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Tyrosine Kinase Inhibitors;Signal Transduction Inhibitors;MEK Inhibitors	baseline_coxIn_RData	cached	TRUE	
Sepantronium bromide	SEPANTRONIUM BROMIDE	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	FALSE	FALSE	CYTOTOXIC	CYTOTOXIC	baseline_coxIn_RData	cached	FALSE	
Serdemetan	SERDEMETAN				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
SGC-CBP30	SGC-CBP30	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	FALSE	FALSE	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	FALSE	
SGC0946	SGC0946	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	FALSE	FALSE	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	FALSE	
Sinularin	SINULARIN				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
SL0101	SL0101				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
SN-38	SN-38	Cytotoxic	CYTOTOXIC		FALSE	FALSE	Cytotoxic	Cytotoxic	baseline_coxIn_RData	cached	FALSE	
Sorafenib	SORAFENIB	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;	TYROSINE KINASE INHIBITORS	SIGNALING	TRUE	TRUE	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;	Breast Feeding;Lactation;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors;Tyrosine Kinase Inhibitors	baseline_coxIn_RData	cached	TRUE	
Staurosporine	STAUROSPORINE				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
TAF1_5496	TAF1_5496	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	FALSE	FALSE	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	FALSE	
Talazoparib	TALAZOPARIB	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP Inhibitors	SIGNALING		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP Inhibitors	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Signal Transduction Inhibitors;PARP Inhibitors	baseline_coxIn_RData	cached	TRUE	
Tamoxifen	TAMOXIFEN	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Estrogen Antagonists; Hormones and antihormones	HORMONES AND ANTIHORMONES		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Estrogen Antagonists; Hormones and antihormones	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Estrogen Antagonists;Hormones and antihormones	baseline_coxIn_RData	cached	TRUE	
Tanespimycin	TANESPIMYCIN				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Taselisib	TASELISIB	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
Telomerase Inhibitor IX	TELOMERASE INHIBITOR IX				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Temozolomide	TEMOZOLOMIDE	Breast Feeding; Lactation; Antineoplastic Agents; Antineoplastic Agents, Alkylating	ALKYLATING		FALSE	FALSE	Breast Feeding; Lactation; Antineoplastic Agents; Antineoplastic Agents, Alkylating	Breast Feeding;Lactation;Antineoplastic Agents;Antineoplastic Agents, Alkylating	baseline_coxIn_RData	cached	TRUE	
Temsirolimus	TEMSIROLIMUS	Breast Feeding; Lactation; Immunosuppressive Agents	IMMUNOSUPPRESSIVE AGENTS		FALSE	FALSE	Breast Feeding; Lactation; Immunosuppressive Agents	Breast Feeding;Lactation;Immunosuppressive Agents	baseline_coxIn_RData	cached	TRUE	
Teniposide	TENIPOSIDE	Cytotoxic	CYTOTOXIC		FALSE	FALSE	Cytotoxic	Cytotoxic	baseline_coxIn_RData	cached	FALSE	
THR-101	THR-101				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
THR-102	THR-102				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
THR-103	THR-103				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Topotecan	TOPOTECAN	Breast Feeding; Lactation; Antineoplastic Agents; Topoisomerase I Inhibitors	CYTOTOXIC		FALSE	FALSE	Breast Feeding; Lactation; Antineoplastic Agents; Topoisomerase I Inhibitors	Breast Feeding;Lactation;Antineoplastic Agents;Topoisomerase I Inhibitors	baseline_coxIn_RData	cached	TRUE	
Tozasertib	TOZASERTIB	Signaling	SIGNALING		FALSE	FALSE	Signaling	Signaling	baseline_coxIn_RData	cached	FALSE	
Trametinib	TRAMETINIB	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; MEK Inhibitors	MEK INHIBITORS	SIGNALING	TRUE	TRUE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; MEK Inhibitors	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors;MEK Inhibitors	baseline_coxIn_RData	cached	TRUE	
Tretinoin	TRETINOIN	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Dermatologic Agents; Keratolytic Agents; Retinoids; Targeted therapies	SIGNALING		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Dermatologic Agents; Keratolytic Agents; Retinoids; Targeted therapies	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Dermatologic Agents;Keratolytic Agents;Retinoids;Targeted therapies	baseline_coxIn_RData	cached	TRUE	
TW 37	TW 37	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	FALSE	FALSE	CYTOTOXIC	CYTOTOXIC	baseline_coxIn_RData	cached	FALSE	
Ulixertinib	ULIXERTINIB	Signaling	SIGNALING		FALSE	FALSE	Signaling	Signaling	baseline_coxIn_RData	cached	FALSE	
ULK1_4989	ULK1_4989				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
UMI-77	UMI-77	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	FALSE	FALSE	CYTOTOXIC	CYTOTOXIC	baseline_coxIn_RData	cached	FALSE	
UNC0379	UNC0379	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	FALSE	FALSE	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	FALSE	
UNC0638	UNC0638	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	FALSE	FALSE	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	FALSE	
Uprosertib	UPROSERTIB	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
VE-822	VE-822				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
VE821	VE821				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Veliparib	VELIPARIB	Cytotoxic	CYTOTOXIC		FALSE	FALSE	Cytotoxic	Cytotoxic	baseline_coxIn_RData	cached	FALSE	
Venetoclax	VENETOCLAX	Breast Feeding; Lactation; Antineoplastic Agents	ANTINEOPLASTIC AGENTS		FALSE	FALSE	Breast Feeding; Lactation; Antineoplastic Agents	Breast Feeding;Lactation;Antineoplastic Agents	baseline_coxIn_RData	cached	TRUE	
Vinblastine	VINBLASTINE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Antimitotic Agents; Cytotoxic medicines	CYTOTOXIC		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Antimitotic Agents; Cytotoxic medicines	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Antimitotic Agents;Cytotoxic medicines	baseline_coxIn_RData	cached	TRUE	
Vinorelbine	VINORELBINE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Antimitotic Agents; Cytotoxic medicines	CYTOTOXIC		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Antimitotic Agents; Cytotoxic medicines	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Antimitotic Agents;Cytotoxic medicines	baseline_coxIn_RData	cached	TRUE	
Vismodegib	VISMODEGIB	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	SIGNALING		FALSE	FALSE	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	Breast Feeding;Lactation;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors	baseline_coxIn_RData	cached	TRUE	
Vorinostat	VORINOSTAT	Antineoplastic Agents	ANTINEOPLASTIC AGENTS		FALSE	FALSE	Antineoplastic Agents	Antineoplastic Agents	baseline_coxIn_RData	cached	FALSE	
VSP34_8731	VSP34_8731				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
VTP-A	VTP-A	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
VTP-B	VTP-B	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
VX-11e	VX-11E	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
Wee1 Inhibitor	WEE1 INHIBITOR	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
WEHI-539	WEHI-539	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	FALSE	FALSE	CYTOTOXIC	CYTOTOXIC	baseline_coxIn_RData	cached	FALSE	
WIKI4	WIKI4				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Wnt-C59	WNT-C59	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
WZ4003	WZ4003				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
XAV939	XAV939	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
YK-4-279	YK-4-279				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
ZM447439	ZM447439	Signaling	SIGNALING		FALSE	FALSE	Signaling	Signaling	baseline_coxIn_RData	cached	FALSE	
Zoledronate	ZOLEDRONATE	Breast Feeding; Lactation; Bisphosphonates; Bone Density Conservation Agents; Diphosphonates;; Medicines for endocrine disorders; Supportive medicines	SUPPORTIVE MEDICINES		FALSE	FALSE	Breast Feeding; Lactation; Bisphosphonates; Bone Density Conservation Agents; Diphosphonates;; Medicines for endocrine disorders; Supportive medicines	Breast Feeding;Lactation;Bisphosphonates;Bone Density Conservation Agents;Diphosphonates;Medicines for endocrine disorders;Supportive medicines	baseline_coxIn_RData	cached	TRUE	
