cancer_type	direction	metric	drug	correlation_value	group	category_id
allcancers	low_ploidy_sensitive	Z_SCORE	REMODELIN	0.0386800827935873	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	OTX015	0.0396651085962471	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	123829	0.0404357622969936	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	NVP-ADW742	0.0410162939205256	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	EHT-1864	0.0411073339750494	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	ML323	0.0411183866439854	Protein stability and degradation	PROTEIN_DEGRADATION
allcancers	low_ploidy_sensitive	Z_SCORE	TASELISIB	0.0413655352618415	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	776928	0.0424993911281838	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	ALPELISIB	0.0428988760574281	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	I-BET-762	0.0442433074540893	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	CHIR-99021	0.0445350346430541	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	P22077	0.0445351534997905	Protein stability and degradation	PROTEIN_DEGRADATION
allcancers	low_ploidy_sensitive	Z_SCORE	JNK INHIBITOR VIII	0.0446064937537816	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	MK-2206	0.0451666107072407	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	SELUMETINIB	0.0467125166608292	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	TEMSIROLIMUS	0.047404956264291	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	SCH772984	0.0475125162778754	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	SGC0946	0.0484934198468019	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	UPROSERTIB	0.0486194478576015	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	DIHYDROROTENONE	0.0487358866605418	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	SERDEMETAN	0.0490599042984873	p53 pathway	P53_PATHWAY
allcancers	low_ploidy_sensitive	Z_SCORE	REFAMETINIB	0.0491413361165454	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	ULK1_4989	0.049474543859728	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	CYCLOPHOSPHAMIDE	0.0502582414758369	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	VORINOSTAT	0.0505611972421756	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	LINSITINIB	0.0506144229467227	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	TAMOXIFEN	0.0518957113574237	Hormone related	HORMONE_RELATED
allcancers	low_ploidy_sensitive	Z_SCORE	PRT062607	0.0521751914230024	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	CCT007093	0.0530128384273044	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	BMS-754807	0.0534936416761577	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	NU7441	0.0549024826273355	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	STAUROSPORINE	0.0553529518735308	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	AFURESERTIB	0.0558330619796586	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	DINACICLIB	0.0560001375545526	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	VE-822	0.0562856971154082	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	ICL-SIRT078	0.0564297336767395	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	IPATASERTIB	0.0567791278401234	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	BUPARLISIB	0.057265804731125	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	ACETALAX	0.0574160233003532	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	AZD5363	0.0577751230028243	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	AZD5582	0.0588082886628166	Apoptosis regulation	APOPTOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	WNT-C59	0.0588937666340026	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	AT13148	0.0592140571694503	Signaling	SIGNALING
