cancer_type	drug	metric	n	pearson_r	pearson_p	pearson_ci_low	pearson_ci_high	pearson_fdr	spearman_rho	spearman_p	spearman_ci_low	spearman_ci_high	spearman_ci_method	spearman_fdr	rank_by_pearson_desc	rank_by_pearson_asc	rank_by_spearman_desc	rank_by_spearman_asc	response_direction_note
allcancers	Gemcitabine	Z_SCORE	623	0.12240277332665	0.00220931350379732	0.0442766099676862	0.199040883128078	0.0274723331341754	0.139723818416854	0.000469341954321301	0.0618493435223521	0.215907387700157	approximate_fisher_transform	0.00610144540617692	40	247	38	249	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
	Gemcitabine	Z_SCORE	2										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
ACC	Gemcitabine	Z_SCORE	0										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
ALL	Gemcitabine	Z_SCORE	15	0.256635750477365	0.355843458418223	-0.294319839158017	0.679560235626517	0.986823611489712	0.267857142857143	0.334443600512353	-0.28328431650992	0.685998196129774	approximate_fisher_transform	0.983900058692536	73	197	69	201	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
BLCA	Gemcitabine	Z_SCORE	16	0.548353334507984	0.0278543848729182	0.0723009770472532	0.820915925961925	0.151861568902696	0.467647058823529	0.067760850190154	-0.0365353907890409	0.782063100656439	approximate_fisher_transform	0.201048676388369	57	214	99	172	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
BRCA	Gemcitabine	Z_SCORE	43	0.270113946927747	0.0798102229194113	-0.0328989056226569	0.527651028173297	0.728417889872436	0.207037148897614	0.182822743337871	-0.0994990851606367	0.477682278024436	approximate_fisher_transform	0.660937820498625	22	255	76	201	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
CESC	Gemcitabine	Z_SCORE	0										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
CLL	Gemcitabine	Z_SCORE	2										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
COREAD	Gemcitabine	Z_SCORE	39	0.190906163089888	0.244357340008837	-0.132597804078785	0.477652237915298	0.996687287266526	0.218421052631579	0.181596771129021	-0.104288637194811	0.499518330426208	approximate_fisher_transform	0.970976084112208	35	239	27	247	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
DLBC	Gemcitabine	Z_SCORE	19	-0.153642674703757	0.530008391495348	-0.568199622244281	0.323115529286376	0.998422092289431	-0.0964912280701754	0.694348438958583	-0.527584729258776	0.374122195298882	approximate_fisher_transform	0.996757397280061	147	122	156	113	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
ESCA	Gemcitabine	Z_SCORE	23	-0.267708851049772	0.216836746255255	-0.612339282760154	0.162415953471412	0.994411425936406	-0.283596837944664	0.189738530532592	-0.622978776468175	0.145637173352449	approximate_fisher_transform	0.989618820958067	256	16	259	13	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
GBM	Gemcitabine	Z_SCORE	22	0.433351084165878	0.0439329983804531	0.0143676760399073	0.722885173150864	0.930256635907078	0.288537549407115	0.192824610051686	-0.151509043399448	0.633131219630821	approximate_fisher_transform	0.98042139126025	13	258	38	233	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
HNSC	Gemcitabine	Z_SCORE	14	-0.0546839617550692	0.852703936478767	-0.568761315828162	0.490115854914364	0.988215204794171	0.0461538461538462	0.875502537632114	-0.496594381836827	0.562955142175988	approximate_fisher_transform	0.944750168304676	211	59	209	61	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
KIRC	Gemcitabine	Z_SCORE	13	-0.290491167608698	0.335633063753214	-0.725375504124194	0.310132874614581	0.78779931834941	-0.274725274725275	0.363674981640178	-0.717160635333229	0.32554650930078	approximate_fisher_transform	0.71759836137228	154	116	133	137	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
LAML	Gemcitabine	Z_SCORE	19	-0.349111912174874	0.142922606788321	-0.693373112524045	0.124903269789267	0.579801363328463	-0.459649122807018	0.0477077031657859	-0.756022945234661	-0.00686622101812196	approximate_fisher_transform	0.321589540966817	204	67	214	57	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
LCML	Gemcitabine	Z_SCORE	9										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
LGG	Gemcitabine	Z_SCORE	10	-0.588197311064696	0.0736826132267847	-0.888698874071418	0.0657962792627043	0.49950618206512	-0.466666666666667	0.173938597165066	-0.847330527792628	0.230776896209088	approximate_fisher_transform	0.54857557567444	111	13	86	38	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
LIHC	Gemcitabine	Z_SCORE	12	-0.165338762766294	0.607582237584478	-0.675174315559146	0.451394895867559	0.992103240001164	-0.027972027972028	0.931234351201881	-0.59237209952348	0.554844795109094	approximate_fisher_transform	0.983877963405878	158	112	110	158	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
