drug	drug_key	drug_id_list	current_legacy_enrichment_group	raw_drugCategory_Pubchem	parsed_pubchem_category_tokens	gdsc_putative_target_values	gdsc_pathway_name_values	gdsc_target_pathway_conflict_flag	rollup_conflict_status	rollup_resolution_reason	gdsc_putative_target_counts	gdsc_pathway_name_counts	current_manual_override	in_wrong_assignment_fixture	proposed_final_category_id	evidence_reason
Bosutinib	BOSUTINIB	1019	TYROSINE KINASE INHIBITORS	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors	Breast Feeding;Lactation;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors;Tyrosine Kinase Inhibitors	SRC, ABL, TEC	Other, kinases	FALSE	none		SRC, ABL, TEC(n=947)	Other, kinases(n=947)	SIGNALING	FALSE	SIGNALING	GDSC pathway: Other, kinases; target: SRC, ABL, TEC
BPD-00008900	BPD-00008900	1998					Other	FALSE	none			Other(n=742)		FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: 
Bromosporine	BROMOSPORINE	1581	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	CECR2, BRD2, BRD4, BRD9	Chromatin other	FALSE	none		CECR2, BRD2, BRD4, BRD9(n=716)	Chromatin other(n=716)	EPIGENETICS AND TRANSCRIPTION	FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin other; target: CECR2, BRD2, BRD4, BRD9
Buparlisib	BUPARLISIB	1873	SIGNALING	SIGNALING	SIGNALING	PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma	PI3K/MTOR signaling	FALSE	none		PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma(n=956)	PI3K/MTOR signaling(n=956)	SIGNALING	FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma
BX795	BX795	1037				TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC	Other, kinases	FALSE	none		TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC(n=225)	Other, kinases(n=225)		FALSE	SIGNALING	GDSC pathway: Other, kinases; target: TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC
Camptothecin	CAMPTOTHECIN	1003	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	TOP1	DNA replication	FALSE	none		TOP1(n=966)	DNA replication(n=966)	CYTOTOXIC	FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: DNA replication; target: TOP1
CCT-018159	CCT-018159	1170				HSP90	Protein stability and degradation	FALSE	none		HSP90(n=225)	Protein stability and degradation(n=225)		FALSE	PROTEIN_DEGRADATION	GDSC pathway: Protein stability and degradation; target: HSP90
CCT007093	CCT007093	1067				PPM1D	Cell cycle	FALSE	none		PPM1D(n=936)	Cell cycle(n=936)		FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Cell cycle; target: PPM1D
CDK9_5038	CDK9_5038	1709	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	CDK9	Cell cycle	FALSE	none		CDK9(n=716)	Cell cycle(n=716)	EPIGENETICS AND TRANSCRIPTION	FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Cell cycle; target: CDK9
CDK9_5576	CDK9_5576	1708	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	CDK9	Cell cycle	FALSE	none		CDK9(n=716)	Cell cycle(n=716)	EPIGENETICS AND TRANSCRIPTION	FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Cell cycle; target: CDK9
Cediranib	CEDIRANIB	1922	SIGNALING	SIGNALING	SIGNALING	VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB	RTK signaling	FALSE	none		VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB(n=956)	RTK signaling(n=956)	SIGNALING	FALSE	SIGNALING	GDSC pathway: RTK signaling; target: VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB
CHIR-99021	CHIR-99021	2175				GSK3A, GSK3B	WNT signaling	FALSE	none		GSK3A, GSK3B(n=225)	WNT signaling(n=225)		FALSE	SIGNALING	GDSC pathway: WNT signaling; target: GSK3A, GSK3B
Cisplatin	CISPLATIN	1005	CYTOTOXIC	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Platinum Compounds; Cytotoxic medicines	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Platinum Compounds;Cytotoxic medicines	DNA crosslinker	DNA replication	FALSE	none		DNA crosslinker(n=759)	DNA replication(n=759)		FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: DNA replication; target: DNA crosslinker
CPI-637	CPI-637	2158	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EP300	Chromatin histone methylation	FALSE	none		EP300(n=740)	Chromatin histone methylation(n=740)	EPIGENETICS AND TRANSCRIPTION	FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin histone methylation; target: EP300
Crizotinib	CRIZOTINIB	1083	SIGNALING	Signaling	Signaling	MET, ALK, ROS1	RTK signaling	FALSE	none		MET, ALK, ROS1(n=964)	RTK signaling(n=964)		FALSE	SIGNALING	GDSC pathway: RTK signaling; target: MET, ALK, ROS1
CT7033-2	CT7033-2	2149				KDM4A, KDM4C, KDM4E, KDM3A, KDM6B	Chromatin histone methylation	FALSE	none		KDM4A, KDM4C, KDM4E, KDM3A, KDM6B(n=740)	Chromatin histone methylation(n=740)		FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin histone methylation; target: KDM4A, KDM4C, KDM4E, KDM3A, KDM6B
Cyclophosphamide	CYCLOPHOSPHAMIDE	1512	CYTOTOXIC	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Alkylating Agents; Cytotoxic medicines	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Alkylating Agents;Cytotoxic medicines	Alkylating agent	DNA replication	FALSE	none		Alkylating agent(n=955)	DNA replication(n=955)		FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: DNA replication; target: Alkylating agent
Cytarabine	CYTARABINE	1006	CYTOTOXIC	Breast Feeding; Lactation; Milk, Human; Antimetabolites, Antineoplastic; Immunosuppressive Agents; Nucleosides; Cytotoxic medicines	Breast Feeding;Lactation;Milk, Human;Antimetabolites, Antineoplastic;Immunosuppressive Agents;Nucleosides;Cytotoxic medicines	Antimetabolite	Other	FALSE	none		Antimetabolite(n=742)	Other(n=742)		FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: Antimetabolite
CZC24832	CZC24832	1615				PI3Kgamma	PI3K/MTOR signaling	FALSE	none		PI3Kgamma(n=893)	PI3K/MTOR signaling(n=893)		FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: PI3Kgamma
Dabrafenib	DABRAFENIB	1373	SIGNALING	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors;	Breast Feeding;Lactation;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors	BRAF	ERK MAPK signaling	FALSE	none		BRAF(n=952)	ERK MAPK signaling(n=952)		FALSE	SIGNALING	GDSC pathway: ERK MAPK signaling; target: BRAF
Dacarbazine	DACARBAZINE	1815	CYTOTOXIC	Cytotoxic	Cytotoxic	CP11A	Other	FALSE	none		CP11A(n=717)	Other(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: CP11A
Dactinomycin	DACTINOMYCIN	1811;1911	CYTOTOXIC	Breast Feeding; Lactation; Antineoplastic Agents; Antibiotics, Antineoplastic; Protein Synthesis Inhibitors; Nucleic Acid Synthesis Inhibitors;; Cytotoxic medicines	Breast Feeding;Lactation;Antineoplastic Agents;Antibiotics, Antineoplastic;Protein Synthesis Inhibitors;Nucleic Acid Synthesis Inhibitors;Cytotoxic medicines	RNA polymerase	Other	FALSE	resolved_same_category	Multiple GDSC DRUG_ID values share this drug key but have the same pathway-level category evidence.	RNA polymerase(n=959)	Other(n=959)		FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: RNA polymerase
Dactolisib	DACTOLISIB	1057	SIGNALING	SIGNALING	SIGNALING	PI3K (class 1), MTORC1, MTORC2	PI3K/MTOR signaling	FALSE	none		PI3K (class 1), MTORC1, MTORC2(n=956)	PI3K/MTOR signaling(n=956)	SIGNALING	FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: PI3K (class 1), MTORC1, MTORC2
Daporinad	DAPORINAD	1248				NAMPT	Metabolism	FALSE	none		NAMPT(n=594)	Metabolism(n=594)		FALSE	METABOLISM	GDSC pathway: Metabolism; target: NAMPT
Dasatinib	DASATINIB	1079	SIGNALING	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors; Targeted therapies	Breast Feeding;Lactation;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors;Tyrosine Kinase Inhibitors;Targeted therapies	ABL, SRC, Ephrins, PDGFR, KIT	Other, kinases	FALSE	none		ABL, SRC, Ephrins, PDGFR, KIT(n=960)	Other, kinases(n=960)		FALSE	SIGNALING	GDSC pathway: Other, kinases; target: ABL, SRC, Ephrins, PDGFR, KIT
Dihydrorotenone	DIHYDROROTENONE	1827					Unclassified	FALSE	none			Unclassified(n=715)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
