drug	drug_key	drug_id_list	current_legacy_enrichment_group	raw_drugCategory_Pubchem	parsed_pubchem_category_tokens	gdsc_putative_target_values	gdsc_pathway_name_values	gdsc_target_pathway_conflict_flag	rollup_conflict_status	rollup_resolution_reason	gdsc_putative_target_counts	gdsc_pathway_name_counts	current_manual_override	in_wrong_assignment_fixture	proposed_final_category_id	evidence_reason
123138	123138	1824					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
123829	123829	1820					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
150412	150412	1836					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
5-azacytidine	5-AZACYTIDINE	2156	METABOLICINHIBITOR	MetabolicInhibitor	MetabolicInhibitor	DNA methyltransferases	Other	FALSE	none		DNA methyltransferases(n=739)	Other(n=739)		TRUE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Other; target: DNA methyltransferases
5-Fluorouracil	5-FLUOROURACIL	1073	DERMATOLOGICAL MEDICINES > MEDICINES AFFECTING SKIN DIFFERENTIATION AND PROLIFERATION	Breast Feeding; Lactation; Milk, Human; Antimetabolites; Antineoplastic Agents; Antimetabolites, Antineoplastic; Immunosuppressive Agents; Cytotoxic medicines; Dermatological medicines > Medicines affecting skin differentiation and proliferation	Breast Feeding;Lactation;Milk, Human;Antimetabolites;Antineoplastic Agents;Antimetabolites, Antineoplastic;Immunosuppressive Agents;Cytotoxic medicines;Dermatological medicines > Medicines affecting skin differentiation and proliferation	Antimetabolite (DNA & RNA)	Other	FALSE	none		Antimetabolite (DNA & RNA)(n=966)	Other(n=966)		FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: Other; target: Antimetabolite (DNA & RNA)
50869	50869	1826					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
615590	615590	1839					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
630600	630600	1840					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
667880	667880	1829					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
720427	720427	1828					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
729189	729189	1832					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
741909	741909	1833					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
743380	743380	1834					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
765771	765771	1821					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
776928	776928	1844					Unclassified	FALSE	none			Unclassified(n=716)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
A-366	A-366	2157	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EHMT1, EHMT2	Chromatin histone methylation	FALSE	none		EHMT1, EHMT2(n=740)	Chromatin histone methylation(n=740)	EPIGENETICS AND TRANSCRIPTION	FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin histone methylation; target: EHMT1, EHMT2
ABT737	ABT737	1910	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	BCL2, BCL-XL,  BCL-W, BCL-B, BFL1	Apoptosis regulation	FALSE	none		BCL2, BCL-XL,  BCL-W, BCL-B, BFL1(n=955)	Apoptosis regulation(n=955)	CYTOTOXIC	FALSE	APOPTOSIS	GDSC pathway: Apoptosis regulation; target: BCL2, BCL-XL,  BCL-W, BCL-B, BFL1
Acetalax	ACETALAX	1803;1804					Unclassified	FALSE	resolved_same_category	Multiple GDSC DRUG_ID values share this drug key but have the same pathway-level category evidence.		Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
Afatinib	AFATINIB	1032	SIGNALING	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors; Targeted therapies	Breast Feeding;Lactation;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors;Tyrosine Kinase Inhibitors;Targeted therapies	EGFR, ERBB2	EGFR signaling	FALSE	none		EGFR, ERBB2(n=964)	EGFR signaling(n=964)		FALSE	SIGNALING	GDSC pathway: EGFR signaling; target: EGFR, ERBB2
Afuresertib	AFURESERTIB	1912	SIGNALING	SIGNALING	SIGNALING	AKT1, AKT2, AKT3	PI3K/MTOR signaling	FALSE	none		AKT1, AKT2, AKT3(n=955)	PI3K/MTOR signaling(n=955)	SIGNALING	FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: AKT1, AKT2, AKT3
AGI-5198	AGI-5198	1913				IDH1 (R132H)	Metabolism	FALSE	none		IDH1 (R132H)(n=956)	Metabolism(n=956)		FALSE	METABOLISM	GDSC pathway: Metabolism; target: IDH1 (R132H)
AGI-6780	AGI-6780	1634				IDH2 R140Q mutant	Metabolism	FALSE	none		IDH2 R140Q mutant(n=892)	Metabolism(n=892)		FALSE	METABOLISM	GDSC pathway: Metabolism; target: IDH2 R140Q mutant
AGK2	AGK2	2039	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	BAZ2A, BAZ2B	Chromatin histone acetylation	FALSE	none		BAZ2A, BAZ2B(n=931)	Chromatin histone acetylation(n=931)	EPIGENETICS AND TRANSCRIPTION	FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin histone acetylation; target: BAZ2A, BAZ2B
Alisertib	ALISERTIB	1051	SIGNALING	Signaling	Signaling	AURKA	Mitosis	FALSE	none		AURKA(n=948)	Mitosis(n=948)		FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Mitosis; target: AURKA
Alpelisib	ALPELISIB	1560	ANTINEOPLASTIC AGENTS	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents	PI3Kalpha	PI3K/MTOR signaling	FALSE	none		PI3Kalpha(n=963)	PI3K/MTOR signaling(n=963)		TRUE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: PI3Kalpha
alpha-lipoic acid	ALPHA-LIPOIC ACID	2498				Metabolism	Metabolism	FALSE	none		Metabolism(n=734)	Metabolism(n=734)		FALSE	METABOLISM	GDSC pathway: Metabolism; target: Metabolism
AMG-319	AMG-319	2045	SIGNALING	SIGNALING	SIGNALING	PI3K (beta sparing)	PI3K/MTOR signaling	FALSE	none		PI3K (beta sparing)(n=948)	PI3K/MTOR signaling(n=948)	SIGNALING	FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: PI3K (beta sparing)
ascorbate (vitamin C)	ASCORBATE (VITAMIN C)	2438				anti-oxidant proteins	Other	FALSE	none		anti-oxidant proteins(n=731)	Other(n=731)		FALSE	METABOLISM	GDSC pathway: Other; target: anti-oxidant proteins
AT13148	AT13148	2170	SIGNALING	Signaling	Signaling	AKT1	PI3K/MTOR signaling	FALSE	none		AKT1(n=952)	PI3K/MTOR signaling(n=952)		FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: AKT1
Avagacestat	AVAGACESTAT	1072				Amyloid beta20, Amyloid beta40	Other	FALSE	none		Amyloid beta20, Amyloid beta40(n=952)	Other(n=952)		FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: Amyloid beta20, Amyloid beta40
Axitinib	AXITINIB	1021	TYROSINE KINASE INHIBITORS	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors;Tyrosine Kinase Inhibitors	PDGFR, KIT, VEGFR	RTK signaling	FALSE	none		PDGFR, KIT, VEGFR(n=959)	RTK signaling(n=959)	SIGNALING	FALSE	SIGNALING	GDSC pathway: RTK signaling; target: PDGFR, KIT, VEGFR
AZ6102	AZ6102	2109				TNKS1, TNKS2	WNT signaling	FALSE	none		TNKS1, TNKS2(n=953)	WNT signaling(n=953)		FALSE	SIGNALING	GDSC pathway: WNT signaling; target: TNKS1, TNKS2
AZ960	AZ960	1250	SIGNALING	SIGNALING	SIGNALING	JAK2, JAK3	Other, kinases	FALSE	none		JAK2, JAK3(n=891)	Other, kinases(n=891)	SIGNALING	FALSE	SIGNALING	GDSC pathway: Other, kinases; target: JAK2, JAK3
AZD1208	AZD1208	1449	SIGNALING	SIGNALING	SIGNALING	PIM1, PIM2, PIM3	Other, kinases	FALSE	none		PIM1, PIM2, PIM3(n=716)	Other, kinases(n=716)	SIGNALING	FALSE	SIGNALING	GDSC pathway: Other, kinases; target: PIM1, PIM2, PIM3
AZD1332	AZD1332	1463				NTRK1, NTRK2, NTRK3	RTK signaling	FALSE	none		NTRK1, NTRK2, NTRK3(n=717)	RTK signaling(n=717)		FALSE	SIGNALING	GDSC pathway: RTK signaling; target: NTRK1, NTRK2, NTRK3
AZD2014	AZD2014	1441	SIGNALING	SIGNALING	SIGNALING	mTORC1, mTORC2	PI3K/MTOR signaling	FALSE	none		mTORC1, mTORC2(n=717)	PI3K/MTOR signaling(n=717)	SIGNALING	FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: mTORC1, mTORC2
AZD3759	AZD3759	1915	SIGNALING	SIGNALING	SIGNALING	EGFR	EGFR signaling	FALSE	none		EGFR(n=964)	EGFR signaling(n=964)	SIGNALING	FALSE	SIGNALING	GDSC pathway: EGFR signaling; target: EGFR
AZD4547	AZD4547	1786	SIGNALING	SIGNALING	SIGNALING	FGFR1, FGFR2, FGFR3	RTK signaling	FALSE	none		FGFR1, FGFR2, FGFR3(n=957)	RTK signaling(n=957)	SIGNALING	FALSE	SIGNALING	GDSC pathway: RTK signaling; target: FGFR1, FGFR2, FGFR3
AZD5153	AZD5153	1706	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	BRD4	Chromatin other	FALSE	none		BRD4(n=717)	Chromatin other(n=717)	EPIGENETICS AND TRANSCRIPTION	FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin other; target: BRD4
AZD5363	AZD5363	1916	PROTEIN KINASE INHIBITORS	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors	AKT1, AKT2, AKT3, ROCK2	Other, kinases	FALSE	none		AKT1, AKT2, AKT3, ROCK2(n=956)	Other, kinases(n=956)		FALSE	SIGNALING	GDSC pathway: Other, kinases; target: AKT1, AKT2, AKT3, ROCK2
AZD5438	AZD5438	1401	SIGNALING	SIGNALING	SIGNALING	CDK2	Cell cycle	FALSE	none		CDK2(n=717)	Cell cycle(n=717)	SIGNALING	FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Cell cycle; target: CDK2
AZD5582	AZD5582	1617	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	XIAP, cIAP	Apoptosis regulation	FALSE	none		XIAP, cIAP(n=881)	Apoptosis regulation(n=881)	CYTOTOXIC	FALSE	APOPTOSIS	GDSC pathway: Apoptosis regulation; target: XIAP, cIAP
AZD5991	AZD5991	1720	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	MCL1	Apoptosis regulation	FALSE	none		MCL1(n=713)	Apoptosis regulation(n=713)	CYTOTOXIC	FALSE	APOPTOSIS	GDSC pathway: Apoptosis regulation; target: MCL1
AZD6482	AZD6482	2169	SIGNALING	SIGNALING	SIGNALING	PI3Kbeta	PI3K/MTOR signaling	FALSE	none		PI3Kbeta(n=267)	PI3K/MTOR signaling(n=267)	SIGNALING	FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: PI3Kbeta
AZD6738	AZD6738	1917	SIGNALING	SIGNALING	SIGNALING	ATR	Genome integrity	FALSE	none		ATR(n=956)	Genome integrity(n=956)	SIGNALING	FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: Genome integrity; target: ATR
AZD7762	AZD7762	1022	SIGNALING	Signaling	Signaling	CHEK1, CHEK2	Cell cycle	FALSE	none		CHEK1, CHEK2(n=959)	Cell cycle(n=959)		FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Cell cycle; target: CHEK1, CHEK2
AZD8055	AZD8055	1059	SIGNALING	Signaling	Signaling	MTORC1, MTORC2	PI3K/MTOR signaling	FALSE	none		MTORC1, MTORC2(n=744)	PI3K/MTOR signaling(n=744)		FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: MTORC1, MTORC2
AZD8186	AZD8186	1918	SIGNALING	SIGNALING	SIGNALING	PI3Kalpha, PI3Kbeta	PI3K/MTOR signaling	FALSE	none		PI3Kalpha, PI3Kbeta(n=956)	PI3K/MTOR signaling(n=956)	SIGNALING	FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: PI3Kalpha, PI3Kbeta
BDF00022089a	BDF00022089A	1585				BRPF1, BRPF2, BRPF3	Chromatin histone acetylation	FALSE	none		BRPF1, BRPF2, BRPF3(n=717)	Chromatin histone acetylation(n=717)		FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin histone acetylation; target: BRPF1, BRPF2, BRPF3
BDILV000379a	BDILV000379A	1586				BAZ2A, BAZ2B	Chromatin histone acetylation	FALSE	none		BAZ2A, BAZ2B(n=717)	Chromatin histone acetylation(n=717)		FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin histone acetylation; target: BAZ2A, BAZ2B
BDOCA000347a	BDOCA000347A	1584				BRPF1, BRPF2, BRPF3	Chromatin histone acetylation	FALSE	none		BRPF1, BRPF2, BRPF3(n=717)	Chromatin histone acetylation(n=717)		FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin histone acetylation; target: BRPF1, BRPF2, BRPF3
BDP-00009066	BDP-00009066	1866				MRCKB_HUMAN	Cytoskeleton	FALSE	none		MRCKB_HUMAN(n=742)	Cytoskeleton(n=742)		FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Cytoskeleton; target: MRCKB_HUMAN
BEN	BEN	1847					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
BI-2536	BI-2536	1086				PLK1, PLK2, PLK3	Cell cycle	FALSE	none		PLK1, PLK2, PLK3(n=921)	Cell cycle(n=921)		FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Cell cycle; target: PLK1, PLK2, PLK3
BIBR-1532	BIBR-1532	2043				TERT	Genome integrity	FALSE	none		TERT(n=950)	Genome integrity(n=950)		FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: Genome integrity; target: TERT
Bicalutamide	BICALUTAMIDE	1502	HORMONES AND ANTIHORMONES	Antineoplastic Agents; Hormones and antihormones	Antineoplastic Agents;Hormones and antihormones	AR	Hormone-related	FALSE	none		AR(n=225)	Hormone-related(n=225)		FALSE	HORMONE_RELATED	GDSC pathway: Hormone-related; target: AR
Bleomycin	BLEOMYCIN	1812	CYTOTOXIC	Breast Feeding; Lactation; Antineoplastic Agents; Antibiotics, Antineoplastic; Cytotoxic medicines	Breast Feeding;Lactation;Antineoplastic Agents;Antibiotics, Antineoplastic;Cytotoxic medicines	dsDNA break induction	DNA replication	FALSE	none		dsDNA break induction(n=717)	DNA replication(n=717)		FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: DNA replication; target: dsDNA break induction
Bleomycin (50 uM)	BLEOMYCIN (50 UM)	1378				dsDNA break induction	DNA replication	FALSE	none		dsDNA break induction(n=730)	DNA replication(n=730)		FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: DNA replication; target: dsDNA break induction
BMS-345541	BMS-345541	1249	SIGNALING	SIGNALING	SIGNALING	IKK-1, IKK-2	Other	FALSE	none		IKK-1, IKK-2(n=891)	Other(n=891)	SIGNALING	FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: IKK-1, IKK-2
BMS-536924	BMS-536924	1091	SIGNALING	SIGNALING	SIGNALING	IGF1R, IR	IGF1R signaling	FALSE	none		IGF1R, IR(n=956)	IGF1R signaling(n=956)	SIGNALING	FALSE	SIGNALING	GDSC pathway: IGF1R signaling; target: IGF1R, IR
BMS-754807	BMS-754807	2171	SIGNALING	SIGNALING	SIGNALING	IGF1R, IR	IGF1R signaling	FALSE	none		IGF1R, IR(n=947)	IGF1R signaling(n=947)	SIGNALING	FALSE	SIGNALING	GDSC pathway: IGF1R signaling; target: IGF1R, IR
Bortezomib	BORTEZOMIB	1191	SIGNALING	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Proteasome Inhibitors; Targeted therapies	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Proteasome Inhibitors;Targeted therapies	Proteasome	Protein stability and degradation	FALSE	none		Proteasome(n=955)	Protein stability and degradation(n=955)		TRUE	PROTEIN_DEGRADATION	GDSC pathway: Protein stability and degradation; target: Proteasome
