sample_id	pseudotime_bin	sample_bin_id	cell_count	bin_start	bin_end	bin_midpoint	dose	dose_mg	initial_ploidy	n_cells	mean_pseudotime	retained_for_model	exclusion_reason	library_size
2N-A1-R	4	2N-A1-R__bin04	3	0.15	0.2	0.175	0mg/kg	0	2N	81	0.528129051818892	FALSE	cell_count<5	219532
2N-A1-R	5	2N-A1-R__bin05	5	0.2	0.25	0.225	0mg/kg	0	2N	81	0.528129051818892	TRUE	NA	253438
2N-A1-R	6	2N-A1-R__bin06	3	0.25	0.3	0.275	0mg/kg	0	2N	81	0.528129051818892	FALSE	cell_count<5	49531
2N-A1-R	7	2N-A1-R__bin07	3	0.3	0.35	0.325	0mg/kg	0	2N	81	0.528129051818892	FALSE	cell_count<5	199348
2N-A1-R	8	2N-A1-R__bin08	2	0.35	0.4	0.375	0mg/kg	0	2N	81	0.528129051818892	FALSE	cell_count<5	49270
2N-A1-R	9	2N-A1-R__bin09	3	0.4	0.45	0.425	0mg/kg	0	2N	81	0.528129051818892	FALSE	cell_count<5	165029
2N-A1-R	10	2N-A1-R__bin10	5	0.45	0.5	0.475	0mg/kg	0	2N	81	0.528129051818892	TRUE	NA	165984
2N-A1-R	11	2N-A1-R__bin11	10	0.5	0.55	0.525	0mg/kg	0	2N	81	0.528129051818892	TRUE	NA	362297
2N-A1-R	12	2N-A1-R__bin12	3	0.55	0.6	0.575	0mg/kg	0	2N	81	0.528129051818892	FALSE	cell_count<5	124139
2N-A1-R	13	2N-A1-R__bin13	5	0.6	0.65	0.625	0mg/kg	0	2N	81	0.528129051818892	TRUE	NA	383413
2N-A1-R	14	2N-A1-R__bin14	3	0.65	0.7	0.675	0mg/kg	0	2N	81	0.528129051818892	FALSE	cell_count<5	202703
2N-A1-R	15	2N-A1-R__bin15	6	0.7	0.75	0.725	0mg/kg	0	2N	81	0.528129051818892	TRUE	NA	535056
2N-A1-R	16	2N-A1-R__bin16	4	0.75	0.8	0.775	0mg/kg	0	2N	81	0.528129051818892	FALSE	cell_count<5	186362
2N-A1-R	17	2N-A1-R__bin17	6	0.8	0.85	0.825	0mg/kg	0	2N	81	0.528129051818892	TRUE	NA	443765
2N-A1-R	18	2N-A1-R__bin18	10	0.85	0.9	0.875	0mg/kg	0	2N	81	0.528129051818892	TRUE	NA	775766
2N-A1-R	19	2N-A1-R__bin19	1	0.9	0.95	0.925	0mg/kg	0	2N	81	0.528129051818892	FALSE	cell_count<5	198212
2N-A1-R	20	2N-A1-R__bin20	0	0.95	1	0.975	0mg/kg	0	2N	81	0.528129051818892	FALSE	cell_count<5	0
2N-A1-RR	1	2N-A1-RR__bin01	33	0	0.05	0.025	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	1022410
2N-A1-RR	2	2N-A1-RR__bin02	45	0.05	0.1	0.075	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	1527278
2N-A1-RR	3	2N-A1-RR__bin03	35	0.1	0.15	0.125	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	1126334
2N-A1-RR	4	2N-A1-RR__bin04	41	0.15	0.2	0.175	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	1438577
2N-A1-RR	5	2N-A1-RR__bin05	18	0.2	0.25	0.225	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	599977
2N-A1-RR	6	2N-A1-RR__bin06	14	0.25	0.3	0.275	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	344175
2N-A1-RR	7	2N-A1-RR__bin07	14	0.3	0.35	0.325	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	403226
2N-A1-RR	8	2N-A1-RR__bin08	14	0.35	0.4	0.375	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	351402
2N-A1-RR	9	2N-A1-RR__bin09	19	0.4	0.45	0.425	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	567882
2N-A1-RR	10	2N-A1-RR__bin10	27	0.45	0.5	0.475	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	792780
2N-A1-RR	11	2N-A1-RR__bin11	21	0.5	0.55	0.525	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	771458
