"compartment","analysis","model","term","estimate","std_error","statistic","p_value","n","tgi_measure","pre_specified_primary"
"CellCycle","shift_only","`TGI_percent_Day_17` ~ scale(ecdf_rmse)","(Intercept)",65.2474078682923,9.15175993519284,7.1294929423777,0.000383328435850338,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_only","`TGI_percent_Day_17` ~ scale(ecdf_rmse)","scale(ecdf_rmse)",18.3298052996202,9.78364290385603,1.87351536434306,0.110140748932667,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","(Intercept)",59.7152134066872,12.8865022996006,4.63393495134348,0.00977832755301083,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse)",18.4200837597217,8.4642098129327,2.17623194212141,0.095144477915163,8,"TGI_percent_Day_17",TRUE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","end_timepoint_ploidy_groupETP-higher",-30.1348097422063,25.780380073916,-1.16890478944862,0.307350189041608,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","dose_mg_factor120",18.5980913587618,17.0687394795774,1.08959957945426,0.337134536231398,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","(Intercept)",59.7152134066872,12.8865022996006,4.63393495134348,0.00977832755301083,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse)",18.4200837597217,8.4642098129327,2.17623194212141,0.095144477915163,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","end_timepoint_ploidy_groupETP-higher",-30.1348097422063,25.780380073916,-1.16890478944862,0.307350189041608,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","dose_mg_factor120",18.5980913587618,17.0687394795774,1.08959957945426,0.337134536231398,8,"TGI_percent_Day_17",FALSE
