"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster","gene_key","lfc_value","p_val_adj_num","delta_pct","abs_logfc","abs_delta_pct"
8.49534399724764e-102,2.07554982808511,0.714,0.431,6.14230361688999e-97,"GRCh38-CLEC2B","CLEC2B",13,"CLEC2B",2.07554982808511,6.14230361688999e-97,0.283,2.07554982808511,0.283
6.52810187369387e-56,2.07420308155805,0.224,0.071,4.71994821671814e-51,"GRCh38-MMP3","MMP3",13,"MMP3",2.07420308155805,4.71994821671814e-51,0.153,2.07420308155805,0.153
2.23694262638334e-191,2.06428576220806,0.818,0.426,1.61735425772768e-186,"GRCh38-STC2","STC2",13,"STC2",2.06428576220806,1.61735425772768e-186,0.392,2.06428576220806,0.392
1.48750105333462e-113,2.05317120773282,0.591,0.26,1.075493011582e-108,"GRCh38-IL33","IL33",13,"IL33",2.05317120773282,1.075493011582e-108,0.331,2.05317120773282,0.331
2.47005054855547e-116,2.05039505424555,0.361,0.103,1.78589594761658e-111,"GRCh38-TRIML2","TRIML2",13,"TRIML2",2.05039505424555,1.78589594761658e-111,0.258,2.05039505424555,0.258
1.0917044072887e-138,2.04967329121672,0.683,0.329,7.89324120557879e-134,"GRCh38-DEPP1","DEPP1",13,"DEPP1",2.04967329121672,7.89324120557879e-134,0.354,2.04967329121672,0.354
2.71356866225486e-104,2.0460726188681,0.832,0.622,1.96196441418351e-99,"GRCh38-TENT5A","TENT5A",13,"TENT5A",2.0460726188681,1.96196441418351e-99,0.21,2.0460726188681,0.21
6.98744010806889e-206,2.0188252946412,0.719,0.274,5.05205894693597e-201,"GRCh38-CA9","CA9",13,"CA9",2.0188252946412,5.05205894693597e-201,0.445,2.0188252946412,0.445
3.86870805973428e-71,2.01785188630938,0.355,0.129,2.79715330134908e-66,"GRCh38-CXCL1","CXCL1",13,"CXCL1",2.01785188630938,2.79715330134908e-66,0.226,2.01785188630938,0.226
7.64228537495377e-80,1.97407974572957,0.634,0.376,5.52552517179907e-75,"GRCh38-IL6","IL6",13,"IL6",1.97407974572957,5.52552517179907e-75,0.258,1.97407974572957,0.258
3.29438183311396e-140,1.96730143532752,0.646,0.295,2.38190395297805e-135,"GRCh38-ADAMTS9-AS2","ADAMTS9-AS2",13,"ADAMTS9-AS2",1.96730143532752,2.38190395297805e-135,0.351,1.96730143532752,0.351
4.31516575697672e-160,1.95845151555709,0.543,0.186,3.11995114560931e-155,"GRCh38-SLCO4A1","SLCO4A1",13,"SLCO4A1",1.95845151555709,3.11995114560931e-155,0.357,1.95845151555709,0.357
1.11580082098482e-213,1.95091743479437,0.55,0.143,8.06746309588447e-209,"GRCh38-TREM1","TREM1",13,"TREM1",1.95091743479437,8.06746309588447e-209,0.407,1.95091743479437,0.407
2.50191592709858e-118,1.93247806060906,0.504,0.191,1.80893525361082e-113,"GRCh38-ZBTB7C","ZBTB7C",13,"ZBTB7C",1.93247806060906,1.80893525361082e-113,0.313,1.93247806060906,0.313
1.43826060908198e-226,1.92540133211785,0.553,0.144,1.03989118557845e-221,"GRCh38-PTHLH","PTHLH",13,"PTHLH",1.92540133211785,1.03989118557845e-221,0.409,1.92540133211785,0.409
2.20526256565747e-154,1.92315193009642,0.942,0.751,1.59444894022166e-149,"GRCh38-RND3","RND3",13,"RND3",1.92315193009642,1.59444894022166e-149,0.191,1.92315193009642,0.191
3.44548696311518e-170,1.92015092418987,0.915,0.646,2.49115598407154e-165,"GRCh38-PAM","PAM",13,"PAM",1.92015092418987,2.49115598407154e-165,0.269,1.92015092418987,0.269
8.07008269686088e-156,1.89725872841731,0.504,0.16,5.83483119148436e-151,"GRCh38-BMP2","BMP2",13,"BMP2",1.89725872841731,5.83483119148436e-151,0.344,1.89725872841731,0.344
1.45121381045022e-176,1.89326588076053,0.54,0.166,1.04925660923171e-171,"GRCh38-MAF","MAF",13,"MAF",1.89326588076053,1.04925660923171e-171,0.374,1.89326588076053,0.374
2.99706391937605e-154,1.89232810642079,0.899,0.651,2.16693715498727e-149,"GRCh38-BHLHE40","BHLHE40",13,"BHLHE40",1.89232810642079,2.16693715498727e-149,0.248,1.89232810642079,0.248
1.99419208996534e-118,1.88305261094865,0.906,0.786,1.44184076488674e-113,"GRCh38-MXI1","MXI1",13,"MXI1",1.88305261094865,1.44184076488674e-113,0.12,1.88305261094865,0.12
1.1728595435142e-134,1.85949362056594,0.909,0.683,8.48000907151635e-130,"GRCh38-CDH13","CDH13",13,"CDH13",1.85949362056594,8.48000907151635e-130,0.226,1.85949362056594,0.226
9.0023867812408e-137,1.85474926940635,0.541,0.21,6.50890569057273e-132,"GRCh38-FAM43A","FAM43A",13,"FAM43A",1.85474926940635,6.50890569057273e-132,0.331,1.85474926940635,0.331
2.89869711309052e-90,1.85406871308858,0.875,0.705,2.09581598670671e-85,"GRCh38-CITED2","CITED2",13,"CITED2",1.85406871308858,2.09581598670671e-85,0.17,1.85406871308858,0.17
1.74240986890529e-91,1.83934046945682,0.561,0.269,1.2597971834159e-86,"GRCh38-LINC02725","LINC02725",13,"LINC02725",1.83934046945682,1.2597971834159e-86,0.292,1.83934046945682,0.292
4.30501832572837e-180,1.83865744854515,0.645,0.247,3.11261434986813e-175,"GRCh38-LOX","LOX",13,"LOX",1.83865744854515,3.11261434986813e-175,0.398,1.83865744854515,0.398
2.90685153577511e-134,1.83504276512027,0.845,0.595,2.10171179739612e-129,"GRCh38-SLC6A6","SLC6A6",13,"SLC6A6",1.83504276512027,2.10171179739612e-129,0.25,1.83504276512027,0.25
1.25061437411303e-66,1.83129617956605,0.287,0.094,9.04219204771203e-62,"GRCh38-CSF3","CSF3",13,"CSF3",1.83129617956605,9.04219204771203e-62,0.193,1.83129617956605,0.193
2.09431543670804e-139,1.83078331881705,0.972,0.871,1.51423194704865e-134,"GRCh38-ERRFI1","ERRFI1",13,"ERRFI1",1.83078331881705,1.51423194704865e-134,0.101,1.83078331881705,0.101
1.81397874630441e-124,1.82577568856398,0.761,0.455,1.31154291315302e-119,"GRCh38-TM4SF19","TM4SF19",13,"TM4SF19",1.82577568856398,1.31154291315302e-119,0.306,1.82577568856398,0.306
6.65668500095722e-42,1.81593436432411,0.227,0.086,4.81291638939209e-37,"GRCh38-CSF2","CSF2",13,"CSF2",1.81593436432411,4.81291638939209e-37,0.141,1.81593436432411,0.141
1.92051400339461e-62,1.79819291943491,0.476,0.223,1.38857003473437e-57,"GRCh38-CXCL3","CXCL3",13,"CXCL3",1.79819291943491,1.38857003473437e-57,0.253,1.79819291943491,0.253
