pathway	0	2	4c	5	6	8	10	13	14
E2f Targets	-3.88419056680632	0	2.7078214094754	0	1.96086934704342	0.88229310408558	4.08418268047781	-2.08880349547852	-2.65127896731043
G2m Checkpoint	-3.62560936056211	1.07537307957132	2.70569391500359	0	1.68906654097863	0.692297896782238	4.03137491971382	-1.34660980391163	-1.66456559897977
Hypoxia	0.94542027759554	0.41980122613476	-1.17222771225924	0.83026017506526	-3.72684442251395	-0.938330151614532	-1.20472374138795	2.87007860049405	-0.922433353061023
Myc Targets V1	-2.52302860383655	0	-1.7400725143135	0	1.40639193204871	0	3.01595601055508	-3.35671344847621	-3.51301267378675
Oxidative Phosphorylation	0	0	-2.76661575531508	0	0	0	1.28729951736318	-2.86041488511776	0.426499580304208
Mitotic Spindle	-2.43594652543615	1.21338974973417	2.55454874339262	0	1.63000356840828	0.556220836772481	2.76931097720488	1.20976134487329	0.80541047475148
Tnfa Signaling via Nfkb	1.67413624821233	0	-0.739671611140501	1.51877811906346	-2.75981438081859	-1.65925683522158	-1.48308004387908	2.47027248892149	-1.35301266866575
Unfolded Protein Response	-1.09582085368699	0	-0.989776288842473	0	0.879381641217971	0	1.25112892145386	1.18817227451282	-2.63538830832267
Interferon Gamma Response	1.63595072537337	0	-1.72887728190049	1.97725637589813	-2.50101320855615	-0.508593108180088	-1.88436877901873	1.07985615597611	0.8242403838814
Uv Response Dn	0	1.00457633155609	1.22221075468725	0	0	0.700945933538202	-2.50042120494684	1.26992076657908	1.1675339748536
Epithelial Mesenchymal Transition	2.35357337019396	1.00332880178118	-1.39752349357931	0.781850472625772	-2.1160714305118	0.843909590351307	-2.39155517066552	1.90479298011154	1.09628071576791
Spermatogenesis	0	0	1.92935222859104	0	0	0	2.37837621958519	0	0
Glycolysis	-1.78800018599926	0	1.34302593139181	0	1.22745147435864	0.771152190402311	1.78677412887104	2.36765679942776	-1.24335724598867
Mtorc1 Signaling	-2.15197047553126	0	1.36617899297895	-0.904335732873783	1.18088110620144	1.11983047535975	2.32500082019321	1.83642901558819	-1.73726724624466
Interferon Alpha Response	0.918777299560589	0	-1.97228928737093	1.81157639785773	0	-1.21690169088068	-2.0199677600279	-2.3144455112898	1.13367676906122
Coagulation	0	0	-1.55454060512458	0	0	0	-2.27370370289042	1.23880327037941	1.32277345657022
Myogenesis	0	0	-0.578036931683152	0	0	1.58151278789419	-2.1387274949252	1.84177479090167	1.03572431357962
Adipogenesis	0	0	-2.03071078920873	0	-2.13201456290997	0.83313114156846	-1.67153090630865	0.816538709788405	0.779925160310053
Complement	1.33223699620716	0	-1.45152001098882	1.14214114736635	-1.60734302618117	-1.43151874264187	-2.10543414243681	1.26379394825732	1.22287417385028
Xenobiotic Metabolism	2.07423226437308	0	-1.61382702343785	0	0.454997933690195	1.05120364260313	-1.58084822351456	-0.924655458585498	1.11976488841184
