"pathway","hallmark_label","set_size","query_size","overlap","p_value","overlap_genes","p_adj","expression_score_raw","detection_score_raw","overlap_score_raw","expression_score_scaled","detection_score_scaled","overlap_score_scaled","annotation_score","annotation_rank","cluster"
"HALLMARK_DNA_REPAIR","Dna Repair",140,100,11,7.89045973898864e-09,"FEN1;LIG1;PCNA;POLA1;POLA2;POLD3;PRIM1;RFC2;RFC3;RFC4;TYMS",2.10412259706364e-08,1.90377006476803,0.901818181818182,0.0942857142857143,1,0.728207525122692,0.207386515294411,0.645198013472368,2,"6"
"HALLMARK_E2F_TARGETS","E2f Targets",198,100,41,1.81806611089608e-49,"ASF1B;ATAD2;BARD1;BRCA1;BRCA2;CENPM;CHEK1;DCTPP1;DIAPH3;DNMT1;GINS1;HELLS;LIG1;LMNB1;MCM2;MCM3;MCM4;MCM5;MCM6;MCM7;MELK;MMS22L;MSH2;MYBL2;NASP;ORC6;PCNA;POLA2;POLD3;POLE;PRIM2;PSMC3IP;RAD51AP1;RANBP1;RFC2;RFC3;RRM2;SLBP;STMN1;TK1;USP1",1.45445288871687e-48,1.83045443580274,0.872878048780488,0.308535353535354,0.406761703972388,0.430622609567998,1,0.612461437846795,3,"6"
"HALLMARK_MYC_TARGETS_V2","Myc Targets V2",57,100,4,0.000890167490110001,"DCTPP1;MCM4;MCM5;TMEM97",0.001424267984176,1.86143627457677,0.92825,0.0550877192982456,0.657453316408928,1,0.0623740918928993,0.573275802767276,4,"6"
"HALLMARK_G2M_CHECKPOINT","G2m Checkpoint",198,100,24,1.13061111129801e-22,"BARD1;BRCA2;CDC45;CDC6;CHAF1A;CHEK1;E2F1;EXO1;GINS2;LMNB1;MCM2;MCM3;MCM5;MCM6;MYBL2;NASP;NSD2;ORC6;POLA2;POLE;POLQ;PRIM2;RBL1;STMN1",4.52244444519203e-22,1.81446239933017,0.849041666666667,0.180606060606061,0.277361075472123,0.185518423307627,0.526727405377511,0.32986896805242,5,"6"
"HALLMARK_MTORC1_SIGNALING","Mtorc1 Signaling",189,100,5,0.0142117409204959,"DHFR;MCM2;MCM4;RRM2;TMEM97",0.0189489878939946,1.78018460264224,0.831,0.0382275132275132,0,0,0,0,6,"6"
"HALLMARK_MTORC1_SIGNALING","Mtorc1 Signaling",189,100,6,0.00307015867822269,"IGFBP5;NIBAN1;NUPR1;PHGDH;PSAT1;TRIB3",0.00921047603466806,0.933461038081755,0.725166666666667,0.0458730158730159,0.69869250732369,0.446514738904018,0.954521805139752,0.699909683789154,1,"8"
"HALLMARK_MYOGENESIS","Myogenesis",116,100,5,0.00183853319218507,"COL15A1;DMD;IGFBP7;SGCG;TPD52L1",0.00921047603466806,0.856234215952616,0.7194,0.046551724137931,0.358890578859428,0.429984233911423,1,0.59629160425695,2,"8"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Epithelial Mesenchymal Transition",170,100,5,0.00929693273300262,"BGN;IGFBP2;SGCG;TIMP3;TNFRSF11B",0.0185938654660052,1.00193922550186,0.5694,0.0397058823529412,1,0,0.541280778834908,0.513760259611636,3,"8"
"HALLMARK_XENOBIOTIC_METABOLISM","Xenobiotic Metabolism",135,100,4,0.0190986262076452,"ALDH3A1;F10;FMO3;HSD11B1",0.0286479393114679,0.972199423325004,0.68975,0.0348148148148148,0.869143364271239,0.344990683674932,0.213545087268892,0.475893045071687,4,"8"
"HALLMARK_P53_PATHWAY","P53 Pathway",172,100,4,0.041250046948277,"NUPR1;TM4SF1;TPD52L1;TRIB3",0.0495000563379324,0.774669114122078,0.91825,0.0316279069767442,0,1,0,0.333333333333333,5,"8"
