"group_value","fill_value","n_cells","total_cells","proportion","group_field","fill_field","denominator_definition"
"0","0mg/kg",2182,4830,0.45175983436853,"cluster","dose","all plotted cells within cluster"
"2","0mg/kg",449,976,0.460040983606557,"cluster","dose","all plotted cells within cluster"
"4c","0mg/kg",33,89,0.370786516853933,"cluster","dose","all plotted cells within cluster"
"5","0mg/kg",270,623,0.43338683788122,"cluster","dose","all plotted cells within cluster"
"6","0mg/kg",332,686,0.483965014577259,"cluster","dose","all plotted cells within cluster"
"8","0mg/kg",4,13,0.307692307692308,"cluster","dose","all plotted cells within cluster"
"10","0mg/kg",963,2106,0.457264957264957,"cluster","dose","all plotted cells within cluster"
"13","0mg/kg",262,506,0.517786561264822,"cluster","dose","all plotted cells within cluster"
"14","0mg/kg",2,3,0.666666666666667,"cluster","dose","all plotted cells within cluster"
"0","30mg/kg",778,4830,0.161076604554865,"cluster","dose","all plotted cells within cluster"
"2","30mg/kg",153,976,0.156762295081967,"cluster","dose","all plotted cells within cluster"
"4c","30mg/kg",29,89,0.325842696629214,"cluster","dose","all plotted cells within cluster"
"5","30mg/kg",100,623,0.160513643659711,"cluster","dose","all plotted cells within cluster"
"6","30mg/kg",134,686,0.19533527696793,"cluster","dose","all plotted cells within cluster"
"8","30mg/kg",0,13,0,"cluster","dose","all plotted cells within cluster"
"10","30mg/kg",396,2106,0.188034188034188,"cluster","dose","all plotted cells within cluster"
"13","30mg/kg",81,506,0.160079051383399,"cluster","dose","all plotted cells within cluster"
"14","30mg/kg",0,3,0,"cluster","dose","all plotted cells within cluster"
"0","120mg/kg",1870,4830,0.387163561076605,"cluster","dose","all plotted cells within cluster"
"2","120mg/kg",374,976,0.383196721311475,"cluster","dose","all plotted cells within cluster"
"4c","120mg/kg",27,89,0.303370786516854,"cluster","dose","all plotted cells within cluster"
"5","120mg/kg",253,623,0.406099518459069,"cluster","dose","all plotted cells within cluster"
"6","120mg/kg",220,686,0.32069970845481,"cluster","dose","all plotted cells within cluster"
"8","120mg/kg",9,13,0.692307692307692,"cluster","dose","all plotted cells within cluster"
"10","120mg/kg",747,2106,0.354700854700855,"cluster","dose","all plotted cells within cluster"
"13","120mg/kg",163,506,0.322134387351779,"cluster","dose","all plotted cells within cluster"
"14","120mg/kg",1,3,0.333333333333333,"cluster","dose","all plotted cells within cluster"
