"group_value","fill_value","n_cells","total_cells","proportion","group_field","fill_field","denominator_definition"
"0","Tumor",4830,22670,0.213056903396559,"cluster","context","all plotted cells within cluster"
"2","Tumor",976,3644,0.267837541163557,"cluster","context","all plotted cells within cluster"
"4c","Tumor",89,103,0.864077669902913,"cluster","context","all plotted cells within cluster"
"5","Tumor",623,1823,0.34174437739989,"cluster","context","all plotted cells within cluster"
"6","Tumor",686,1685,0.407121661721068,"cluster","context","all plotted cells within cluster"
"8","Tumor",13,1579,0.00823305889803673,"cluster","context","all plotted cells within cluster"
"10","Tumor",2106,3095,0.680452342487884,"cluster","context","all plotted cells within cluster"
"13","Tumor",506,704,0.71875,"cluster","context","all plotted cells within cluster"
"14","Tumor",3,210,0.0142857142857143,"cluster","context","all plotted cells within cluster"
"0","CellLine",17840,22670,0.786943096603441,"cluster","context","all plotted cells within cluster"
"2","CellLine",2668,3644,0.732162458836443,"cluster","context","all plotted cells within cluster"
"4c","CellLine",14,103,0.135922330097087,"cluster","context","all plotted cells within cluster"
"5","CellLine",1200,1823,0.65825562260011,"cluster","context","all plotted cells within cluster"
"6","CellLine",999,1685,0.592878338278932,"cluster","context","all plotted cells within cluster"
"8","CellLine",1566,1579,0.991766941101963,"cluster","context","all plotted cells within cluster"
"10","CellLine",989,3095,0.319547657512116,"cluster","context","all plotted cells within cluster"
"13","CellLine",198,704,0.28125,"cluster","context","all plotted cells within cluster"
"14","CellLine",207,210,0.985714285714286,"cluster","context","all plotted cells within cluster"
