"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	19	701.5	997.5	100	"Alive"
"2"	20	706	1009	97	"Alive"
"3"	21	715.5	992.5	173	"Alive"
"4"	22	717.5	989.5	138	"Alive"
"5"	23	712	983.5	197	"Dead"
"6"	24	713	982	162	"Dead"
"7"	25	700.5	981.5	190	"Dead"
"8"	26	699	983.5	137	"Dead"
"9"	27	710.5	986.5	103	"Alive"
"10"	28	710.5	986.5	254	"Dead"
"11"	29	702	991	111	"Dead"
"12"	30	703	989.5	131	"Dead"
"13"	31	699	993.5	307	"Dead"
"14"	32	691.5	988	178	"Alive"
"15"	33	703	988	222	"Dead"
"16"	34	688.5	992.5	115	"Dead"
"17"	35	691	989	171	"Alive"
"18"	36	693.5	986.5	200	"Alive"
"19"	37	693.5	987.5	274	"Dead"
"20"	38	687.5	991	432	"Dead"
