"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	9	13.5	137	164	"Transitional"
"2"	10	16	139	120	"Alive"
"3"	11	28	134.5	111	"Alive"
"4"	12	28.5	126	134	"Alive"
"5"	13	26	126.5	122	"Alive"
"6"	14	27	129.5	148	"Alive"
"7"	15	32	124	193	"Alive"
"8"	16	39	120	140	"Alive"
"9"	17	33	121.5	165	"Alive"
"10"	18	24.5	119.5	81	"Alive"
"11"	19	49	133.5	175	"Alive"
"12"	20	47.5	121.5	184	"Alive"
"13"	21	62	142.5	295	"Alive"
"14"	22	56.5	140.5	93	"Alive"
"15"	23	41.5	128.5	307	"Alive"
"16"	24	57.5	123	190	"Alive"
