"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	7	984	495	126	"Alive"
"2"	8	959	490	219	"Alive"
"3"	9	939	500	243	"Alive"
"4"	10	916.5	499.5	233	"Alive"
"5"	11	917	466.5	178	"Alive"
"6"	12	925.5	472.5	202	"Alive"
"7"	13	926.5	463.5	207	"Alive"
"8"	14	927	472.5	170	"Alive"
"9"	15	916.5	462	195	"Alive"
"10"	16	886	456	232	"Alive"
"11"	17	908.5	468	183	"Alive"
"12"	18	902	471	160	"Alive"
"13"	19	898.5	465.5	105	"Alive"
"14"	20	903	478.5	178	"Alive"
"15"	21	910	472.5	133	"Alive"
"16"	22	918.5	468.5	120	"Alive"
"17"	23	916.5	462.5	140	"Dead"
"18"	24	913.5	465	178	"Dead"
"19"	25	922	473	395	"Dead"
"20"	26	914.5	472	124	"Dead"
"21"	27	915	464	174	"Dead"
"22"	28	919.5	467	200	"Dead"
"23"	29	920	470	153	"Dead"
"24"	30	919.5	465.5	209	"Dead"
"25"	31	934.5	458	108	"Dead"
"26"	32	930	458	105	"Dead"
"27"	33	927.5	451	355	"Dead"
"28"	34	914	465.5	400	"Dead"
