"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	15	585	302.5	195	"Alive"
"2"	16	593.5	300	141	"Alive"
"3"	17	602	291	173	"Alive"
"4"	18	600	295	154	"Alive"
"5"	19	607.5	298.5	180	"Alive"
"6"	20	610.5	314	161	"Alive"
"7"	21	611	317	92	"Alive"
"8"	22	612	334	101	"Alive"
"9"	23	608.5	339.5	114	"Alive"
"10"	24	606.5	339.5	131	"Alive"
"11"	25	606.5	339.5	164	"Alive"
"12"	26	607.5	323	144	"Alive"
"13"	27	604	324	268	"Alive"
"14"	28	603	322.5	231	"Alive"
"15"	29	603	319	216	"Alive"
"16"	30	601	316.5	255	"Alive"
"17"	31	603	314	231	"Alive"
"18"	32	601.5	323	100	"Alive"
"19"	33	615	316.5	110	"Alive"
"20"	34	608.5	318	140	"Alive"
