"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	5	831.5	547.5	137	"Alive"
"2"	6	825.5	546.5	156	"Alive"
"3"	7	826.5	546	142	"Alive"
"4"	8	834	540.5	147	"Alive"
"5"	9	834	533	192	"Alive"
"6"	10	827.5	530	177	"Alive"
"7"	11	818	536.5	123	"Alive"
"8"	12	808	526	158	"Alive"
"9"	13	796	529	167	"Alive"
"10"	14	794	520	132	"Alive"
"11"	15	798	508	161	"Alive"
"12"	16	794	513	167	"Alive"
"13"	17	811	499	159	"Alive"
"14"	18	823.5	483.5	153	"Alive"
"15"	19	828	477.5	181	"Alive"
"16"	20	826	474	235	"Alive"
