"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	5	508	135	184	"Alive"
"2"	6	506	125.5	199	"Alive"
"3"	7	480	106	214	"Alive"
"4"	8	457.5	142	277	"Alive"
"5"	9	442	129.5	240	"Alive"
"6"	10	420	150	132	"Alive"
"7"	11	426.5	142	168	"Alive"
"8"	12	419	134.5	181	"Alive"
"9"	13	423	132	202	"Alive"
"10"	14	425	136	114	"Alive"
"11"	15	435.5	138.5	170	"Alive"
"12"	16	431.5	133	137	"Alive"
"13"	17	424	140.5	166	"Alive"
"14"	18	432	132	157	"Alive"
"15"	19	423.5	113.5	184	"Alive"
"16"	20	441.5	103.5	194	"Alive"
"17"	21	425.5	86	145	"Alive"
"18"	22	428	92	152	"Alive"
"19"	23	429	88.5	162	"Alive"
"20"	24	428	91	181	"Alive"
"21"	25	436	92.5	84	"Alive"
