"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	17	1209	166.5	107	"Alive"
"2"	18	1205.5	174	105	"Alive"
"3"	19	1211.5	178	145	"Alive"
"4"	20	1204	169.5	154	"Alive"
"5"	21	1207.5	158.5	167	"Alive"
"6"	22	1202.5	159.5	179	"Alive"
"7"	23	1204	156	123	"Alive"
"8"	24	1193	172	146	"Alive"
"9"	25	1198	184	121	"Alive"
"10"	26	1184	183	158	"Alive"
"11"	27	1185	177	176	"Alive"
"12"	28	1180	175	243	"Alive"
"13"	29	1192.5	176	152	"Alive"
"14"	30	1191	171	94	"Alive"
"15"	31	1191	166.5	99	"Alive"
"16"	32	1181	169	97	"Alive"
"17"	33	1190	170	109	"Alive"
