"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	17	1401	776.5	138	"Alive"
"2"	18	1398.5	775.5	139	"Alive"
"3"	19	1391.5	781.5	168	"Alive"
"4"	20	1389.5	784	181	"Alive"
"5"	21	1383.5	779	180	"Alive"
"6"	22	1384	772	244	"Alive"
"7"	23	1374	784.5	128	"Alive"
"8"	24	1371.5	781	189	"Alive"
"9"	25	1366	781.5	113	"Alive"
"10"	26	1363	778.5	292	"Alive"
"11"	27	1360	779	149	"Alive"
"12"	28	1366.5	776	84	"Alive"
"13"	29	1369	770.5	130	"Alive"
"14"	30	1360.5	786.5	110	"Alive"
"15"	31	1352.5	795	261	"Dead"
"16"	32	1350	794	144	"Dead"
"17"	33	1340	782.5	120	"Alive"
"18"	34	1342.5	784.5	138	"Alive"
"19"	35	1336	784.5	210	"Alive"
"20"	36	1336	801.5	196	"Dead"
