"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	22	1114.5	85.5	141	"Alive"
"2"	23	1111	93	154	"Alive"
"3"	24	1116	97	150	"Alive"
"4"	25	1116.5	102	128	"Alive"
"5"	26	1138	108.5	99	"Alive"
"6"	27	1139.5	114.5	107	"Alive"
"7"	28	1124.5	111	96	"Alive"
"8"	29	1126.5	112.5	77	"Alive"
"9"	30	1127.5	111.5	84	"Alive"
"10"	31	1128.5	118	118	"Alive"
"11"	32	1129.5	118	119	"Alive"
"12"	33	1142.5	117.5	58	"Dead"
"13"	34	1148.5	118	160	"Dead"
"14"	35	1140.5	115	83	"Alive"
"15"	36	1135	109	110	"Alive"
"16"	37	1132	122	112	"Alive"
"17"	38	1137.5	117.5	257	"Alive"
