"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	5	1023.5	87	133	"Alive"
"2"	6	1018	90.5	128	"Alive"
"3"	7	1008.5	103	128	"Alive"
"4"	8	1031	95	127	"Alive"
"5"	9	1035	100.5	160	"Alive"
"6"	10	1028	98	185	"Alive"
"7"	11	1024	103	190	"Alive"
"8"	12	1029	105	195	"Alive"
"9"	13	1029.5	102.5	236	"Alive"
"10"	14	1027.5	100	89	"Alive"
"11"	15	1023.5	105.5	170	"Alive"
"12"	16	1026.5	115	89	"Alive"
"13"	17	1028	110.5	119	"Alive"
"14"	18	1031	104.5	110	"Alive"
"15"	19	1028.5	95	137	"Alive"
"16"	20	1032	97.5	213	"Alive"
