"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	10	850	159	197	"Alive"
"2"	11	842.5	166.5	178	"Alive"
"3"	12	841.5	169	200	"Alive"
"4"	13	841.5	180	204	"Alive"
"5"	14	858.5	182	138	"Alive"
"6"	15	864.5	184.5	154	"Alive"
"7"	16	856	182	121	"Alive"
"8"	17	857	193	116	"Alive"
"9"	18	849.5	185	124	"Alive"
"10"	19	838.5	190	118	"Alive"
"11"	20	841	181.5	156	"Alive"
"12"	21	843.5	173	137	"Alive"
"13"	22	839	158	124	"Alive"
"14"	23	819	142	96	"Alive"
"15"	24	834.5	148	143	"Alive"
"16"	25	843	142	191	"Alive"
"17"	26	834.5	143.5	164	"Alive"
"18"	27	834	142.5	187	"Alive"
"19"	28	828	137	117	"Alive"
"20"	29	814.5	134	93	"Alive"
"21"	30	830	138.5	75	"Alive"
