"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	15	1322.5	964.5	105	"Alive"
"2"	16	1334	965	111	"Alive"
"3"	17	1327	973	109	"Alive"
"4"	18	1309	961	107	"Alive"
"5"	19	1304.5	962	137	"Alive"
"6"	20	1299.5	965	164	"Alive"
"7"	21	1298.5	962.5	119	"Alive"
"8"	22	1296	969.5	127	"Alive"
"9"	23	1290	962	214	"Alive"
"10"	24	1285	965	111	"Alive"
"11"	25	1277	979	113	"Alive"
"12"	26	1280.5	972.5	114	"Dead"
"13"	27	1295	968	124	"Alive"
"14"	28	1285.5	959.5	121	"Alive"
"15"	29	1285	976.5	76	"Alive"
"16"	30	1293.5	980.5	234	"Alive"
"17"	31	1297.5	996	126	"Alive"
"18"	32	1309.5	986	92	"Alive"
"19"	33	1304.5	988.5	86	"Alive"
"20"	34	1303	1002	84	"Alive"
"21"	35	1315.5	994.5	118	"Alive"
"22"	36	1317	997	144	"Alive"
"23"	37	1318.5	981.5	136	"Alive"
