"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	20	1117.5	531	155	"Alive"
"2"	21	1111	534	156	"Alive"
"3"	22	1107	527	163	"Alive"
"4"	23	1111	520.5	147	"Alive"
"5"	24	1109	512	178	"Alive"
"6"	25	1111.5	521.5	138	"Alive"
"7"	26	1108.5	520.5	157	"Alive"
"8"	27	1103.5	517	126	"Alive"
"9"	28	1088.5	521.5	97	"Alive"
"10"	29	1093.5	515	103	"Alive"
"11"	30	1085.5	526	82	"Alive"
"12"	31	1085.5	524	184	"Alive"
"13"	32	1079	541	100	"Alive"
"14"	33	1091.5	546.5	102	"Alive"
"15"	34	1093.5	544.5	89	"Alive"
"16"	35	1095	529.5	152	"Alive"
