"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	20	604	302	109	"Alive"
"2"	21	609.5	303	180	"Dead"
"3"	22	603	310.5	85	"Dead"
"4"	23	599.5	308	99	"Dead"
"5"	24	595.5	304	117	"Dead"
"6"	25	603.5	282	230	"Dead"
"7"	26	599.5	305.5	113	"Dead"
"8"	27	603.5	297	316	"Dead"
"9"	28	603.5	299	104	"Dead"
"10"	29	607.5	292	205	"Dead"
"11"	30	614.5	295	268	"Dead"
"12"	31	609	296.5	209	"Dead"
"13"	32	616	303	74	"Dead"
"14"	33	616	307	132	"Dead"
"15"	34	622.5	295	110	"Dead"
"16"	35	616.5	291	307	"Dead"
"17"	36	625.5	292.5	145	"Dead"
"18"	37	615	296.5	110	"Dead"
"19"	38	624.5	295.5	162	"Dead"
