"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	11	1293	955	200	"Alive"
"2"	12	1306.5	957	396	"Alive"
"3"	13	1318	945.5	173	"Alive"
"4"	14	1316	941	186	"Alive"
"5"	15	1316	934	115	"Alive"
"6"	16	1322	931.5	104	"Alive"
"7"	17	1325	929.5	117	"Dead"
"8"	18	1319.5	942	156	"Alive"
"9"	19	1320	940.5	141	"Alive"
"10"	20	1324.5	949.5	124	"Dead"
"11"	21	1328	959	122	"Alive"
"12"	22	1315.5	953.5	137	"Alive"
"13"	23	1320.5	955.5	173	"Alive"
"14"	24	1319	956.5	162	"Alive"
"15"	25	1307.5	954.5	92	"Alive"
