"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	22	217.5	487.5	122	"Alive"
"2"	23	219.5	503	110	"Alive"
"3"	24	224.5	512.5	85	"Alive"
"4"	25	225.5	502.5	139	"Alive"
"5"	26	215.5	514	141	"Alive"
"6"	27	219	518.5	116	"Alive"
"7"	28	209.5	505.5	117	"Alive"
"8"	29	218.5	516.5	101	"Alive"
"9"	30	210.5	525.5	74	"Alive"
"10"	31	213.5	534.5	164	"Alive"
"11"	32	221.5	548	100	"Alive"
"12"	33	216	540.5	187	"Alive"
"13"	34	213.5	534.5	81	"Alive"
"14"	35	217	537	158	"Alive"
"15"	36	213.5	534.5	86	"Alive"
"16"	37	210	532.5	103	"Alive"
"17"	38	213	539.5	191	"Alive"
