"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	14	595	316	188	"Alive"
"2"	15	587.5	310	154	"Alive"
"3"	16	589.5	298	107	"Alive"
"4"	17	588	304.5	124	"Alive"
"5"	18	581	303.5	178	"Alive"
"6"	19	573	302	178	"Alive"
"7"	20	573.5	310	104	"Alive"
"8"	21	574	318.5	258	"Alive"
"9"	22	573.5	324.5	205	"Alive"
"10"	23	577.5	322	219	"Alive"
"11"	24	586.5	316.5	198	"Dead"
"12"	25	595	307.5	97	"Dead"
"13"	26	589	321	85	"Dead"
"14"	27	596.5	324.5	284	"Dead"
"15"	28	587.5	327	208	"Dead"
"16"	29	583	321.5	133	"Dead"
"17"	30	578.5	329	522	"Dead"
"18"	31	599.5	316	99	"Dead"
"19"	32	591	311.5	147	"Dead"
"20"	33	593	299	329	"Dead"
"21"	34	573	300	90	"Dead"
"22"	35	567	293	358	"Dead"
"23"	36	571	294.5	190	"Dead"
