"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	5	1111.5	731.5	104	"Alive"
"2"	6	1103.5	732	107	"Alive"
"3"	7	1103.5	729.5	144	"Alive"
"4"	8	1113.5	731	225	"Alive"
"5"	9	1107.5	739	141	"Alive"
"6"	10	1120.5	724	301	"Alive"
"7"	11	1115	735.5	207	"Alive"
"8"	12	1103.5	727	200	"Alive"
"9"	13	1080	723.5	205	"Alive"
"10"	14	1074	706.5	195	"Alive"
"11"	15	1066.5	701.5	136	"Alive"
"12"	16	1062	700	164	"Alive"
"13"	17	1057	703	176	"Alive"
"14"	18	1074	703.5	218	"Alive"
"15"	19	1075.5	697.5	161	"Alive"
"16"	20	1081.5	711.5	146	"Alive"
"17"	21	1077	712.5	131	"Alive"
"18"	22	1072.5	702.5	343	"Alive"
"19"	23	1078.5	702.5	213	"Alive"
"20"	24	1077	701.5	120	"Alive"
"21"	25	1070	693.5	404	"Alive"
"22"	26	1075	691	431	"Dead"
"23"	27	1073	702	245	"Dead"
"24"	28	1076	708.5	313	"Dead"
"25"	29	1077.5	704	248	"Dead"
"26"	30	1062.5	699.5	115	"Dead"
"27"	31	1059	704	97	"Alive"
"28"	32	1057	710.5	163	"Alive"
"29"	33	1054	702.5	140	"Alive"
"30"	34	1064	708.5	216	"Alive"
"31"	35	1060	707	210	"Dead"
"32"	36	1062.5	709	571	"Dead"
