"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	4	1138	90	159	"Alive"
"2"	5	1139	82.5	202	"Alive"
"3"	6	1144	73	213	"Alive"
"4"	7	1160	64	218	"Alive"
"5"	8	1178.5	50	177	"Alive"
"6"	9	1159	56.5	179	"Alive"
"7"	10	1170	52.5	191	"Alive"
"8"	11	1180.5	59.5	173	"Alive"
"9"	12	1182.5	56.5	196	"Alive"
"10"	13	1181.5	63.5	240	"Alive"
"11"	14	1193.5	69	81	"Alive"
"12"	15	1190	62.5	118	"Alive"
"13"	16	1168	54	135	"Alive"
"14"	17	1164.5	57	143	"Alive"
"15"	18	1166	57	252	"Alive"
