"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	12	670	40.5	213	"Alive"
"2"	13	665	45	232	"Alive"
"3"	14	660	41	229	"Alive"
"4"	15	667.5	44.5	164	"Alive"
"5"	16	677	48	201	"Alive"
"6"	17	685.5	43.5	183	"Alive"
"7"	18	686	38.5	192	"Alive"
"8"	19	678	41	185	"Alive"
"9"	20	679	36	203	"Alive"
"10"	21	689	37	334	"Alive"
"11"	22	684	31.5	115	"Alive"
"12"	23	689	26.5	211	"Alive"
"13"	24	682.5	16.5	110	"Alive"
"14"	25	679.5	17.5	179	"Alive"
"15"	26	681	15	89	"Alive"
"16"	27	693	16	87	"Alive"
"17"	28	707	18.5	174	"Alive"
"18"	29	702.5	33	226	"Alive"
"19"	30	708	9	110	"Alive"
"20"	31	733	26	128	"Alive"
"21"	32	728.5	38	145	"Alive"
"22"	33	741	39.5	123	"Alive"
"23"	34	743	33.5	63	"Alive"
"24"	35	750	27	115	"Alive"
"25"	36	748.5	40.5	85	"Alive"
"26"	37	747.5	37.5	85	"Alive"
"27"	38	732.5	25	103	"Dead"
